Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 01:44:10,1490143450000
Duration,  0 day, 12 hours, 44 minutes, 10 seconds,45850000
Slew time, 0 day, 0 hour, 24 minutes, 12 seconds,1452000.0
Integration time, 0 day, 9 hours, 45 minutes, 58 seconds,3.5158E7
Waiting time, 0 day, 2 hours, 34 minutes, 0 second,9240000.0
Relative slew time, 0.03166848418756816
Relative integration time, 0.7668047982551799
Relative waiting time, 0.2015267175572519
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:17:26,J0533+0402,1.4548642856722165,0.07039737056551017,71.0,659,975.0,975.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:17:26,21/03/2017 13:29:56,B0559-05,1.579448949277968,-0.09487532243652198,7.0,751,743.0,743.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:29:56,21/03/2017 13:40:46,J0821-4300,2.1901966104620407,-0.750408801269649,43.0,422,607.0,607.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:40:46,21/03/2017 13:55:56,B1620-09,4.290432071770159,-0.15916821001770953,141.0,769,769.0,769.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:55:56,21/03/2017 14:03:53,J1142+0119,3.0630528372500483,0.022980168484592004,72.0,346,405.0,405.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:03:53,21/03/2017 14:07:05,J1737-3102,4.61448546321459,-0.5416314204671681,97.0,182,95.0,95.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.9079346090030245
21/03/2017 14:07:05,21/03/2017 14:18:28,J1738-2736,4.6174596497040925,-0.48158579162070875,3.0,769,680.0,680.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:18:28,21/03/2017 15:19:43,J1720-2446,4.539489392476914,-0.43212897838336267,5.0,5293,incomplete,3670.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-4  (PRN 27)
21/03/2017 15:19:43,21/03/2017 15:29:23,J1747-2802,4.657596550179893,-0.4890945859137332,8.0,606,572.0,572.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:29:23,21/03/2017 15:54:33,B1309-12,3.455217339143297,-0.21757662306306202,78.0,825,1432.0,1432.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:54:33,21/03/2017 15:58:33,J1705-04,4.472406208235469,-0.08173958663506777,46.0,261,194.0,194.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.347790550768485
21/03/2017 15:58:33,21/03/2017 16:03:08,J1759-1956,4.710601472342439,-0.34786351246971425,20.0,133,255.0,255.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:03:08,21/03/2017 16:16:21,J1748-2446K,4.660378168675259,-0.432041711920763,5.0,628,788.0,788.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
