Start time,  21/03/2017 13:00:00,1490097600000
End time,  21/03/2017 19:44:13,1490121853000
Duration,  0 day, 6 hours, 44 minutes, 13 seconds,24253000
Slew time, 0 day, 0 hour, 21 minutes, 47 seconds,1307000.0
Integration time, 0 day, 6 hours, 22 minutes, 26 seconds,2.2946E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.05389024038263308
Relative integration time, 0.9461097596173669
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:06:49,J1142+0119,3.0630528372500483,0.022980168484592004,43.0,346,366.0,366.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:06:49,21/03/2017 13:14:46,B0833-45,2.2486103217937075,-0.7881379662280048,177.0,261,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:14:46,21/03/2017 13:17:51,J0855-4644,2.337008958389797,-0.8155855720654147,7.0,196,178.0,178.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.1019686698368545
21/03/2017 13:17:51,21/03/2017 13:50:02,J1216-50,3.212860264712895,-0.8805137594943283,82.0,1410,1849.0,1849.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:50:02,21/03/2017 13:54:41,J1431-4715,3.803699136924599,-0.8245343890428916,16.0,189,263.0,263.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:54:41,21/03/2017 14:09:05,J1535-4415,4.083773743693892,-0.7722674696582776,10.0,1150,854.0,854.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:09:05,21/03/2017 14:11:36,J1557-4258,4.175718997685893,-0.7498484245282018,1.0,276,150.0,150.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.845543694184562
21/03/2017 14:11:36,21/03/2017 14:18:53,J1548-4821,4.138121842159952,-0.8436257409397468,5.0,432,432.0,432.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:18:53,21/03/2017 14:30:40,B1310+18,3.459751631817926,0.31706814744563655,94.0,1116,613.0,613.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8220399177500812
21/03/2017 14:30:40,21/03/2017 14:41:16,J0943+41,2.543817384781735,0.7182029871956666,53.0,455,583.0,583.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:41:16,21/03/2017 14:53:28,J1807-2459A,4.744412543590557,-0.43578495108040455,225.0,507,507.0,507.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:53:28,21/03/2017 15:01:33,B1756-22,4.709782396596684,-0.38526688796731495,4.0,658,481.0,481.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:01:33,21/03/2017 15:10:09,J1801-2154,4.717358078209222,-0.3820719658088031,1.0,532,515.0,515.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:10:09,21/03/2017 15:38:13,B1757-23,4.71238898038469,-0.4139339209313218,2.0,1244,1682.0,1682.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:38:13,21/03/2017 15:45:26,J1759-2307,4.710276041158995,-0.4033795270935672,5.0,510,428.0,428.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1921918622671164
21/03/2017 15:45:26,21/03/2017 15:47:34,J1813-1246,4.770840784254502,-0.2222424699300602,8.0,211,120.0,120.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:47:34,21/03/2017 15:52:24,J1811-0154,4.761831249211602,-0.033011448360429414,9.0,257,281.0,281.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:52:24,21/03/2017 15:58:33,B1830-08,4.8593093423765295,-0.14732881751817412,7.0,472,362.0,362.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3053544164835262
21/03/2017 15:58:33,21/03/2017 16:00:59,J1840-0559,4.888607602753342,-0.1043503270946543,2.0,305,144.0,144.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.111406644412804
21/03/2017 16:00:59,21/03/2017 16:03:32,J1839-0436,4.882563236665475,-0.08000637772510116,1.0,196,152.0,152.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2880729206292445
21/03/2017 16:03:32,21/03/2017 16:27:23,B1842-04,4.911262630942696,-0.07955889469743707,0.0,1244,1431.0,1431.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:27:23,21/03/2017 16:29:12,J1840-0840,4.8906961800915605,-0.15112127253865346,8.0,192,101.0,101.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.9098554790963418
21/03/2017 16:29:12,21/03/2017 16:37:28,J1909-3744,5.016907823256286,-0.6585007676844632,29.0,543,517.0,467.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:37:28,21/03/2017 17:13:02,J0919-6040,2.441124393255954,-1.0585887334479473,93.0,82,2041.0,2041.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:13:02,21/03/2017 17:18:57,J1337-6306,3.566314890960005,-1.1011897964207236,29.0,284,326.0,326.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:18:57,21/03/2017 17:25:26,J0735-62,1.9869119092912113,-1.098975652339096,34.0,327,355.0,355.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:25:26,21/03/2017 17:30:33,J1418-5945,3.746080167812813,-1.0428342280666119,37.0,322,270.0,270.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1923533138941798
21/03/2017 17:30:33,21/03/2017 17:47:53,J1525-5605,4.039088224299186,-0.9787757963816089,20.0,2800,incomplete,1020.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-5  (PRN 30)
21/03/2017 17:47:53,21/03/2017 18:19:46,J0542-68,1.494801782280977,-1.1914781026947956,47.0,1410,1866.0,1866.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:19:46,21/03/2017 18:27:20,B1449-64,3.898828256899113,-1.1207166855361403,41.0,545,413.0,413.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3206822905753042
21/03/2017 18:27:20,21/03/2017 18:34:35,J1055-6905,2.861228053093076,-1.2056763561597694,21.0,367,414.0,414.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:34:35,21/03/2017 18:43:40,J1056-7117,2.865683733229313,-1.2438700070463995,2.0,543,543.0,543.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:43:40,21/03/2017 18:51:11,B1900+06,4.9865712610605835,0.10953594270917001,140.0,450,371.0,311.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.1687422568338588
21/03/2017 18:51:11,21/03/2017 19:04:38,J1905+0616,4.996503057169056,0.1094549303430566,0.0,1410,807.0,807.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7477986341260505
21/03/2017 19:04:38,21/03/2017 19:05:21,J1834-0812,4.862909083958767,-0.143116998663535,17.0,47,326.0,26.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.7790893846160165
21/03/2017 19:05:21,21/03/2017 19:14:24,J1855+0700,4.953660387298299,0.1223529135152947,14.0,529,529.0,529.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:14:24,21/03/2017 19:19:14,B1935+25,5.135723382839153,0.4491977166914499,18.0,234,272.0,272.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:19:14,21/03/2017 19:27:48,B1953+29,5.216198317715415,0.5086832708353853,4.0,455,510.0,510.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:27:48,21/03/2017 19:31:26,B2002+31,5.257243393722505,0.551863461688353,1.0,189,217.0,217.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:31:26,21/03/2017 19:44:13,J2010+3230,5.281548121665257,0.5672673982968781,0.0,543,767.0,767.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
