Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 05:17:00,1490242620000
Duration,  1 day, 16 hours, 17 minutes, 0 second,145020000
Slew time, 0 day, 3 hours, 1 minute, 6 seconds,1.0866E7
Integration time, 1 day, 8 hours, 57 minutes, 54 seconds,1.18674E8
Waiting time, 0 day, 4 hours, 18 minutes, 0 second,1.548E7
Relative slew time, 0.07492759619362846
Relative integration time, 0.8183285064129086
Relative waiting time, 0.10674389739346297
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:11,J0843+0719,2.2844774567868544,0.12764077633515641,43.0,395,388.0,388.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0180417367311818
21/03/2017 13:07:11,21/03/2017 13:10:26,J0838-2621,2.261568628635438,-0.459750995457738,49.0,179,146.0,146.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:10:26,21/03/2017 13:21:23,J0923-31,2.4607688012076716,-0.5576326960121882,10.0,640,647.0,647.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:21:23,21/03/2017 13:26:58,J0821-4300,2.1901966104620407,-0.750408801269649,38.0,422,297.0,297.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:26:58,21/03/2017 13:32:12,J0855-4644,2.337008958389797,-0.8155855720654147,14.0,196,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:32:12,21/03/2017 13:35:18,B0940-55,2.540605251737544,-0.9748037178922785,28.0,370,158.0,158.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:35:18,21/03/2017 13:56:00,J1143-5536,3.0681281092707438,-0.9703812474931973,38.0,1211,1204.0,1204.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:56:00,21/03/2017 14:03:21,B1552-31,4.1682790954169535,-0.5508448196629737,42.0,592,399.0,399.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.484326652835613
21/03/2017 14:03:21,21/03/2017 14:17:41,J1600-3053,4.192564730330353,-0.5387765209294614,0.0,3388,incomplete,860.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 97 [+]
21/03/2017 14:17:41,21/03/2017 14:22:19,J1614-23,4.249876728606193,-0.40578905108868163,7.0,427,271.0,271.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5770015960594992
21/03/2017 14:22:19,21/03/2017 14:29:37,B1620-09,4.290432071770159,-0.15916821001770953,12.0,769,426.0,426.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8043735797710896
21/03/2017 14:29:37,21/03/2017 14:34:31,J1551-0658,4.150044986222899,-0.1215597583329995,7.0,287,287.0,287.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:34:31,21/03/2017 14:45:30,J1142+0119,3.0630528372500483,0.022980168484592004,75.0,346,584.0,584.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:45:30,21/03/2017 14:50:12,J0647+0913,1.7770127956822,0.1611496435324042,79.0,276,203.0,203.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:50:12,21/03/2017 14:56:14,J1701-3006B,4.455874136855754,-0.5251063328285298,175.0,640,187.0,187.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 3.4247930248297247
21/03/2017 14:56:14,21/03/2017 15:02:24,J1215-5328,3.207087588211923,-0.9330161722764042,56.0,376,314.0,314.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1990867463219004
21/03/2017 15:02:24,21/03/2017 15:11:03,J1400-1438,3.667397816250821,-0.2553300340384238,102.0,395,417.0,417.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:11:03,21/03/2017 15:19:15,J0943+41,2.543817384781735,0.7182029871956666,91.0,455,401.0,401.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:19:15,21/03/2017 15:27:50,B0940+16,2.5460063185519446,0.2884495958497406,375.0,542,incomplete,140.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 19 [+]
21/03/2017 15:27:50,21/03/2017 15:54:15,B0943+10,2.5574600417681577,0.1721815788460517,6.0,769,1579.0,1579.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:54:15,21/03/2017 16:07:57,B0940+16,2.5460063185519446,0.2884495958497406,9.0,542,953.0,813.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:07:57,21/03/2017 16:18:11,J1739+0612,4.622065719044209,0.10834810070908354,237.0,288,377.0,377.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
