Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 21:48:35,1490215715000
Duration,  1 day, 8 hours, 48 minutes, 35 seconds,118115000
Slew time, 0 day, 2 hours, 3 minutes, 8 seconds,7388000.0
Integration time, 0 day, 21 hours, 43 minutes, 27 seconds,7.8207E7
Waiting time, 0 day, 9 hours, 2 minutes, 0 second,3.252E7
Relative slew time, 0.06254921051517588
Relative integration time, 0.6621258942555983
Relative waiting time, 0.27532489522922576
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:16:18,B0943+10,2.5574600417681577,0.1721815788460517,42.0,769,936.0,936.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:16:18,21/03/2017 13:46:35,J0647+0913,1.7770127956822,0.1611496435324042,56.0,276,1761.0,1761.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:46:35,21/03/2017 13:52:44,J0721-2038,1.9273456181553335,-0.3600853696341402,29.0,364,340.0,340.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:52:44,21/03/2017 13:55:18,J0806-4123,2.122276737193805,-0.7218347264808581,29.0,135,125.0,125.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0773102024250216
21/03/2017 13:55:18,21/03/2017 14:13:27,B0950-38,2.5843381122488704,-0.6745203049003351,19.0,1045,1070.0,1070.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:13:27,21/03/2017 14:16:05,J0855-4644,2.337008958389797,-0.8155855720654147,15.0,196,143.0,143.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.3683996751683225
21/03/2017 14:16:05,21/03/2017 14:17:38,J1012-4235,2.670862809916489,-0.7432193731409187,13.0,2072,incomplete,80.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0208 (PRN E08)
21/03/2017 14:17:38,21/03/2017 14:37:25,B0953-52,2.5983225628804747,-0.9261070925069123,16.0,592,1171.0,1171.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:37:25,21/03/2017 14:47:38,B1552-31,4.1682790954169535,-0.5508448196629737,99.0,592,514.0,514.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1518639025902364
21/03/2017 14:47:38,21/03/2017 15:56:55,J1600-3053,4.192564730330353,-0.5387765209294614,1.0,3388,4156.0,4156.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:56:55,21/03/2017 16:28:59,J1216-50,3.212860264712895,-0.8805137594943283,88.0,1410,1836.0,1836.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:28:59,21/03/2017 16:38:21,J1400-1438,3.667397816250821,-0.2553300340384238,166.0,395,396.0,396.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:38:21,21/03/2017 16:46:06,J1730-2304,4.583064899920645,-0.4024380674062206,66.0,399,399.0,399.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:46:06,21/03/2017 18:28:40,J1720-2446,4.539489392476914,-0.43212897838336267,4.0,5293,6150.0,6150.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:28:40,21/03/2017 18:44:24,J1738-2736,4.6174596497040925,-0.48158579162070875,18.0,769,926.0,926.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 18:44:24,21/03/2017 18:50:22,J1736+05,4.611596216082018,0.10122909661567112,46.0,455,312.0,312.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:50:22,21/03/2017 18:50:51,J1801-0857C,4.720442271347036,-0.15604843397976967,19.0,165,incomplete,10.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 18 [+]
21/03/2017 18:50:51,21/03/2017 18:53:50,J1705-04,4.472406208235469,-0.08173958663506777,22.0,261,157.0,157.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.657665762870849
21/03/2017 18:53:50,21/03/2017 19:00:06,B1740-13,4.640948436221535,-0.241543872202393,22.0,402,354.0,354.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1366334120249961
21/03/2017 19:00:06,21/03/2017 19:03:58,J1753-1914,4.684403425771534,-0.33540380086519916,9.0,170,223.0,223.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:03:58,21/03/2017 19:09:39,B1639+36A,4.370659330608373,0.6362473675842965,61.0,280,280.0,280.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:09:39,21/03/2017 19:14:23,J1853+0011,4.945824440733261,0.0033437599586124698,49.0,475,235.0,235.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:14:23,21/03/2017 19:21:20,B0940-55,2.540605251737544,-0.9748037178922785,157.0,370,260.0,260.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:21:20,21/03/2017 19:26:20,J1215-5328,3.207087588211923,-0.9330161722764042,20.0,376,280.0,280.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3407404682339525
21/03/2017 19:26:20,21/03/2017 20:16:51,J1012-4235,2.670862809916489,-0.7432193731409187,23.0,2072,3088.0,3008.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:16:51,21/03/2017 20:37:20,J1905+0616,4.996503057169056,0.1094549303430566,191.0,1410,1038.0,1038.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3578563075752061
21/03/2017 20:37:20,21/03/2017 20:41:34,B1900+06,4.9865712610605835,0.10953594270917001,6.0,450,248.0,248.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.8178284411989316
21/03/2017 20:41:34,21/03/2017 21:10:40,J1907+0740,5.0079399815912184,0.1339181438781627,1.0,1238,1745.0,1745.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:10:40,21/03/2017 21:14:43,J1852+0040,4.942086672696012,0.01173152145548855,11.0,366,232.0,232.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5749292696514878
21/03/2017 21:14:43,21/03/2017 21:15:35,J1853+03,4.943645106273938,0.05235987755982989,2.0,50,50.0,50.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 21:15:35,21/03/2017 21:19:53,B1821-11,4.819256799481241,-0.19701567484720658,15.0,261,243.0,243.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:19:53,21/03/2017 21:22:37,J1823-1126,4.8141896723303885,-0.19952991859744063,3.0,192,161.0,161.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 21:22:37,21/03/2017 21:25:48,J1821-1432,4.8069114311834165,-0.2533965970781589,3.0,189,188.0,188.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.00577781203102
21/03/2017 21:25:48,21/03/2017 21:34:51,J1913+1145,5.034102612522718,0.205236660437781,28.0,792,515.0,515.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5365224051134558
21/03/2017 21:34:51,21/03/2017 21:43:17,J1548-4821,4.138121842159952,-0.8436257409397468,148.0,432,358.0,358.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2059150411278423
21/03/2017 21:43:17,21/03/2017 21:49:25,J1916+0844,5.045389147741,0.15245935829851576,215.0,196,153.0,153.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
