Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 09:07:32,1490170052000
Duration,  0 day, 20 hours, 7 minutes, 32 seconds,72452000
Slew time, 0 day, 1 hour, 5 minutes, 13 seconds,3913000.0
Integration time, 0 day, 16 hours, 44 minutes, 19 seconds,6.0259E7
Waiting time, 0 day, 2 hours, 18 minutes, 0 second,8280000.0
Relative slew time, 0.05400817092695854
Relative integration time, 0.8317092695853807
Relative waiting time, 0.11428255948766079
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:14,J0806-4123,2.122276737193805,-0.7218347264808581,119.0,135,135.0,135.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:04:14,21/03/2017 13:30:59,B0840-48,2.2780451912727337,-0.8524924983535592,25.0,1396,1580.0,1580.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:30:59,21/03/2017 14:17:44,J1012-4235,2.670862809916489,-0.7432193731409187,25.0,2072,incomplete,2780.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0208 (PRN E08)
21/03/2017 14:17:44,21/03/2017 14:22:02,B0940-55,2.540605251737544,-0.9748037178922785,17.0,370,241.0,241.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:22:02,21/03/2017 14:37:25,J1143-5536,3.0681281092707438,-0.9703812474931973,37.0,1211,886.0,886.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:37:25,21/03/2017 14:47:00,J1701-3006B,4.455874136855754,-0.5251063328285298,55.0,640,520.0,520.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2312856636543261
21/03/2017 14:47:00,21/03/2017 14:54:07,J1215-5328,3.207087588211923,-0.9330161722764042,51.0,376,676.0,376.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:54:07,21/03/2017 14:59:50,J1548-4821,4.138121842159952,-0.8436257409397468,36.0,432,307.0,307.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.408756979599093
21/03/2017 14:59:50,21/03/2017 15:26:23,J1535-4415,4.083773743693892,-0.7722674696582776,6.0,1150,1587.0,1587.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 15:26:23,21/03/2017 15:29:05,J1431-4715,3.803699136924599,-0.8245343890428916,15.0,189,147.0,147.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:29:05,21/03/2017 15:34:06,J0855-4644,2.337008958389797,-0.8155855720654147,105.0,196,196.0,196.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:34:06,21/03/2017 15:48:09,B0943+10,2.5574600417681577,0.1721815788460517,76.0,769,767.0,767.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:48:09,21/03/2017 15:56:19,B0940+16,2.5460063185519446,0.2884495958497406,7.0,542,483.0,483.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:56:19,21/03/2017 16:21:41,J1216-50,3.212860264712895,-0.8805137594943283,117.0,1410,1405.0,1405.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:21:41,21/03/2017 16:26:23,B1740-13,4.640948436221535,-0.241543872202393,105.0,402,177.0,177.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.2651016021773267
21/03/2017 16:26:23,21/03/2017 16:30:46,J1741-2054,4.633647723960444,-0.3642065816599167,6.0,257,257.0,257.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:30:46,21/03/2017 16:31:43,J1803-2149,4.726179408581115,-0.3807096393648853,3.0,82,54.0,54.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5167434371236115
21/03/2017 16:31:43,21/03/2017 16:34:04,J1753-1914,4.684403425771534,-0.33540380086519916,3.0,170,138.0,138.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:34:04,21/03/2017 16:57:48,B1757-23,4.71238898038469,-0.4139339209313218,5.0,1244,1419.0,1419.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:57:48,21/03/2017 17:02:28,B1817-13,4.801092358013162,-0.24019948386467627,10.0,543,270.0,270.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.01036498004809
21/03/2017 17:02:28,21/03/2017 17:05:25,J1839-0627,4.884046475641462,-0.11240890010205702,6.0,196,171.0,171.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1477787878819767
21/03/2017 17:05:25,21/03/2017 17:06:05,J1834-0812,4.862909083958767,-0.143116998663535,2.0,47,38.0,38.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.248080671327905
21/03/2017 17:06:05,21/03/2017 17:10:35,B1829-08,4.854707490915438,-0.14746267457552845,0.0,182,270.0,270.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:10:35,21/03/2017 17:20:34,B1756-22,4.709782396596684,-0.38526688796731495,14.0,658,585.0,585.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:20:34,21/03/2017 17:24:28,J1823-1126,4.8141896723303885,-0.19952991859744063,9.0,192,225.0,225.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:24:28,21/03/2017 17:31:09,B1830-08,4.8593093423765295,-0.14732881751817412,2.0,472,399.0,399.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1831990776219183
