Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 06:46:15,1490161575000
Duration,  0 day, 17 hours, 46 minutes, 15 seconds,63975000
Slew time, 0 day, 1 hour, 0 minute, 29 seconds,3629000.0
Integration time, 0 day, 16 hours, 45 minutes, 46 seconds,6.0346E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.05672528331379445
Relative integration time, 0.9432747166862055
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:26,J0843+0719,2.2844774567868544,0.12764077633515641,43.0,395,223.0,223.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.7715911070704458
21/03/2017 13:04:26,21/03/2017 13:07:53,J0838-2621,2.261568628635438,-0.459750995457738,48.0,179,159.0,159.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:07:53,21/03/2017 13:14:09,J1551-0658,4.150044986222899,-0.1215597583329995,191.0,287,185.0,185.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5529249105244691
21/03/2017 13:14:09,21/03/2017 13:25:19,B1620-09,4.290432071770159,-0.15916821001770953,5.0,769,665.0,665.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1560338942013455
21/03/2017 13:25:19,21/03/2017 13:34:33,J1400-1438,3.667397816250821,-0.2553300340384238,35.0,395,519.0,519.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:34:33,21/03/2017 13:38:56,J1548-4821,4.138121842159952,-0.8436257409397468,46.0,432,217.0,217.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.989835635789864
21/03/2017 13:38:56,21/03/2017 14:03:19,B0950-38,2.5843381122488704,-0.6745203049003351,98.0,1045,1365.0,1365.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:03:19,21/03/2017 14:17:41,J1012-4235,2.670862809916489,-0.7432193731409187,12.0,2072,incomplete,850.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0208 (PRN E08)
21/03/2017 14:17:41,21/03/2017 14:23:07,B0919+06,2.453207307667511,0.1158864686366557,254.0,72,72.0,72.0,0,60,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:23:07,21/03/2017 14:42:20,B1756-22,4.709782396596684,-0.38526688796731495,208.0,658,945.0,945.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:42:20,21/03/2017 14:55:07,J1750-2438,4.673103582417705,-0.429651580472893,6.0,769,761.0,761.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:55:07,21/03/2017 14:58:46,B1814-23,4.786565473594449,-0.4046254982540187,3.0,216,216.0,216.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:58:46,21/03/2017 15:38:58,B1813-26,4.784776656555258,-0.467782176492158,2.0,3388,incomplete,2410.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite BEIDOU-3 M2
21/03/2017 15:38:58,21/03/2017 16:50:22,B1727-33,4.5838570437816015,-0.5903120470010577,19.0,6023,4265.0,4265.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 16:50:22,21/03/2017 16:57:16,J1724-35,4.558436395948356,-0.6251187604226358,15.0,481,399.0,399.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:57:16,21/03/2017 18:33:13,J1814-1744,4.776609824652865,-0.3092723434533952,16.0,6023,5741.0,5741.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
