Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 15:59:35,1490151575000
Duration,  1 day, 2 hours, 59 minutes, 35 seconds,97175000
Slew time, 0 day, 0 hour, 22 minutes, 47 seconds,1367000.0
Integration time, 0 day, 7 hours, 1 minute, 48 seconds,2.5308E7
Waiting time, 0 day, 19 hours, 35 minutes, 0 second,7.05E7
Relative slew time, 0.014067404167738617
Relative integration time, 0.26043735528685363
Relative waiting time, 0.7254952405454078
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:30,J1909+1859,5.014811197412215,0.33137373865960806,64.0,280,146.0,146.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.914815419466135
21/03/2017 13:03:30,21/03/2017 13:06:43,B1732-02,4.602263067906977,-0.038207681394561425,35.0,194,158.0,158.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:06:43,21/03/2017 13:12:05,B1821-11,4.819256799481241,-0.19701567484720658,14.0,261,308.0,308.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:12:05,21/03/2017 13:14:35,B1829-08,4.854707490915438,-0.14746267457552845,3.0,182,147.0,147.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:14:35,21/03/2017 13:17:16,J1839-0627,4.884046475641462,-0.11240890010205702,2.0,196,159.0,159.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2349727298131044
21/03/2017 13:17:16,21/03/2017 13:20:33,J1839-0436,4.882563236665475,-0.08000637772510116,1.0,196,196.0,196.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:20:33,21/03/2017 13:25:39,B1839-04,4.8975740136193044,-0.06923236328980396,0.0,196,306.0,306.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:25:39,21/03/2017 13:30:34,J1741+1351,4.631750795773232,0.2419420501150206,23.0,263,272.0,272.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:30:34,21/03/2017 13:32:10,J1800-0125,4.713994683296525,-0.02457714475016682,11.0,85,85.0,85.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:32:10,21/03/2017 13:34:29,J1801-0857C,4.720442271347036,-0.15604843397976967,6.0,165,133.0,133.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:34:29,21/03/2017 13:38:14,J1823-1126,4.8141896723303885,-0.19952991859744063,5.0,192,220.0,220.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:38:14,21/03/2017 13:44:09,B1732-07,4.6036674543617995,-0.128899885946366,13.0,245,342.0,342.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:44:09,21/03/2017 13:45:36,B1839+09,4.89535468203129,0.16060592498903986,23.0,118,64.0,64.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8309427333477999
