Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 08:07:10,1490123230000
Duration,  0 day, 19 hours, 7 minutes, 10 seconds,68830000
Slew time, 0 day, 0 hour, 23 minutes, 0 second,1380000.0
Integration time, 0 day, 5 hours, 59 minutes, 10 seconds,2.155E7
Waiting time, 0 day, 12 hours, 45 minutes, 0 second,4.59E7
Relative slew time, 0.020049397065233183
Relative integration time, 0.31309022228679356
Relative waiting time, 0.6668603806479733
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:12,J1705-04,4.472406208235469,-0.08173958663506777,83.0,261,169.0,169.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5486409094560791
21/03/2017 13:04:12,21/03/2017 13:08:15,J1557-4258,4.175718997685893,-0.7498484245282018,44.0,276,199.0,199.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.386348652596431
21/03/2017 13:08:15,21/03/2017 13:13:30,J1526-5633,4.04343336691613,-0.9867752221199162,15.0,196,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:13:30,21/03/2017 13:15:38,J1601-50,4.194898857168371,-0.8793550547964764,8.0,187,120.0,120.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5546692494248573
21/03/2017 13:15:38,21/03/2017 13:18:46,J1543-5149,4.11782437563537,-0.9041063203802138,2.0,186,186.0,186.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:18:46,21/03/2017 13:19:40,J1617-5055,4.265097454124627,-0.888599482067873,4.0,187,incomplete,50.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite COSMOS 2465 (737)
21/03/2017 13:19:40,21/03/2017 13:24:48,B1659-60,4.469119171477547,-1.0515899631474501,8.0,346,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:24:48,21/03/2017 13:26:34,J1617-5055,4.265097454124627,-0.888599482067873,9.0,187,147.0,97.0,0,5400,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:26:34,21/03/2017 13:34:06,J1614-23,4.249876728606193,-0.40578905108868163,25.0,427,427.0,427.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:34:06,21/03/2017 13:36:37,J1633-2009,4.336801397560727,-0.3519310992542233,4.0,182,147.0,147.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:36:37,21/03/2017 13:40:30,J1610-17,4.23322337866008,-0.3112503832723221,6.0,234,227.0,227.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:40:30,21/03/2017 13:45:46,B1620-09,4.290432071770159,-0.15916821001770953,8.0,769,308.0,308.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.500471482089656
21/03/2017 13:45:46,21/03/2017 13:53:06,J1714-1054,4.514593870582363,-0.19018804377614099,10.0,187,430.0,430.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:53:06,21/03/2017 13:58:11,B1709-15,4.5025901504856165,-0.26422491064574044,5.0,374,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:58:11,21/03/2017 14:01:53,J1619-42,4.2721296765691195,-0.7336200622549498,30.0,192,192.0,192.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:01:53,21/03/2017 14:11:07,J1632-4509,4.329434653676268,-0.78797252404414,2.0,844,552.0,552.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5276526407417959
21/03/2017 14:11:07,21/03/2017 14:16:20,B1659-60,4.469119171477547,-1.0515899631474501,13.0,346,incomplete,300.0,0,1800,2,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:16:20,21/03/2017 14:18:25,J1435-5954,3.8179339186763754,-1.0452136936134975,16.0,189,109.0,109.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:18:25,21/03/2017 14:19:09,J1454-5846,3.901604130352358,-1.025503399482517,2.0,50,42.0,42.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 1.1980431390663138
21/03/2017 14:19:09,21/03/2017 14:22:47,J1418-5945,3.746080167812813,-1.0428342280666119,4.0,322,214.0,214.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.504197023845109
21/03/2017 14:22:47,21/03/2017 14:28:08,J1502-5653,3.9398909090989926,-0.9926113607317447,5.0,327,316.0,316.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:28:08,21/03/2017 14:32:14,J1658-47,4.443608275577563,-0.8237954069413236,18.0,284,228.0,228.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2442881761306606
21/03/2017 14:32:14,21/03/2017 14:36:44,J1622-4944,4.28751039060232,-0.8678649705541804,5.0,216,265.0,265.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:36:44,21/03/2017 14:38:36,J1709-3626,4.493142901410727,-0.6358641708507474,16.0,153,96.0,96.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5858672114273396
21/03/2017 14:38:36,21/03/2017 14:39:03,J1431-4715,3.803699136924599,-0.8245343890428916,27.0,189,incomplete,0.0,0,60,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:39:03,21/03/2017 14:42:21,J1526-5633,4.04343336691613,-0.9867752221199162,12.0,196,486.0,186.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.0517671529954407
21/03/2017 14:42:21,21/03/2017 14:44:20,B1747-46,4.676190342643962,-0.8193118500184227,20.0,231,99.0,99.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.3419410714262328
21/03/2017 14:44:20,21/03/2017 14:52:03,B1727-47,4.588914426177464,-0.8329362780104352,3.0,1238,incomplete,460.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-9  (PRN 26)
21/03/2017 14:52:03,21/03/2017 15:32:47,J1700-4939,4.452230202082415,-0.8664832515630181,4.0,3073,incomplete,2440.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-8  (PRN 16)
21/03/2017 15:32:47,21/03/2017 15:39:09,B1727-47,4.588914426177464,-0.8329362780104352,2.0,1238,incomplete,380.0,0,20,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 8 [+]
21/03/2017 15:39:09,21/03/2017 16:19:34,J1700-4939,4.452230202082415,-0.8664832515630181,5.0,3073,4860.0,2420.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:19:34,21/03/2017 16:34:25,B1727-47,4.588914426177464,-0.8329362780104352,2.0,1238,1729.0,889.0,0,20,3,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:34:25,21/03/2017 16:39:32,J1725-4043,4.56268481823592,-0.7105865642654359,7.0,2597,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 16:39:32,21/03/2017 16:45:50,J1808-3249,4.7476213602182815,-0.5725940462112286,10.0,400,368.0,368.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:45:50,21/03/2017 16:54:56,J1832-28,4.8541969821092295,-0.5012003835310382,5.0,415,541.0,541.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
