Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 18:31:05,1490074265000
Duration,  0 day, 5 hours, 31 minutes, 5 seconds,19865000
Slew time, 0 day, 0 hour, 11 minutes, 50 seconds,710000.0
Integration time, 0 day, 5 hours, 19 minutes, 15 seconds,1.9155E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.03574125346086081
Relative integration time, 0.9642587465391392
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:13:15,J2050+13,5.454153912482279,0.22718369096792856,48.0,1181,747.0,747.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5812856387752958
21/03/2017 13:13:15,21/03/2017 13:18:47,B1929+10,5.114829159154492,0.19185250610612622,26.0,318,306.0,306.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0392176191891274
21/03/2017 13:18:47,21/03/2017 13:35:35,J1944+0907,5.166853006291774,0.15922764478131782,2.0,1728,1156.0,1006.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.568589648839232
21/03/2017 13:35:35,21/03/2017 13:50:54,B1911+09,5.034744021022826,0.16775426031015941,9.0,910,910.0,910.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:50:54,21/03/2017 13:53:00,B1839+09,4.89535468203129,0.16060592498903986,8.0,118,118.0,118.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:53:00,21/03/2017 13:53:55,J1853+03,4.943645106273938,0.05235987755982989,5.0,50,50.0,50.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:53:55,21/03/2017 14:06:10,J1852+0033,4.9426706307749075,0.009700636945320706,2.0,842,733.0,733.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1490357338416985
21/03/2017 14:06:10,21/03/2017 14:11:16,J1844-0302,4.904878289260954,-0.05288735484487706,6.0,192,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:11:16,21/03/2017 14:13:20,B1846-06,4.926659780159685,-0.11544916669629493,3.0,153,121.0,121.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:13:20,21/03/2017 14:14:10,J1834-0812,4.862909083958767,-0.143116998663535,3.0,47,47.0,47.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:14:10,21/03/2017 14:17:23,B1829-08,4.854707490915438,-0.14746267457552845,0.0,182,193.0,193.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:17:23,21/03/2017 14:22:12,B1821-11,4.819256799481241,-0.19701567484720658,4.0,261,285.0,285.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:22:12,21/03/2017 14:25:32,J1831-1423,4.849768209132292,-0.25081350978520733,2.0,529,198.0,198.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.66851081327886
21/03/2017 14:25:32,21/03/2017 15:37:25,J1814-1744,4.776609824652865,-0.3092723434533952,5.0,6023,4308.0,4308.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 15:37:25,21/03/2017 15:39:01,J1803-2149,4.726179408581115,-0.3807096393648853,14.0,82,82.0,82.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:39:01,21/03/2017 15:51:34,J1801-2154,4.717358078209222,-0.3820719658088031,0.0,532,753.0,753.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:51:34,21/03/2017 15:59:47,J1807-2459B,4.744450039444265,-0.4363230288165892,3.0,507,490.0,490.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:59:47,21/03/2017 16:00:29,J1807-2459A,4.744412543590557,-0.43578495108040455,1.0,507,371.0,41.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.4974760163693466
21/03/2017 16:00:29,21/03/2017 16:05:19,J1748-2446K,4.660378168675259,-0.432041711920763,3.0,628,incomplete,287.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:05:19,21/03/2017 16:15:19,J1747-2802,4.657596550179893,-0.4890945859137332,3.0,606,597.0,597.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:15:19,21/03/2017 16:18:31,J1740-3052,4.628758693115347,-0.5387041154606287,4.0,262,188.0,188.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:18:31,21/03/2017 16:20:43,B1736-31,4.62252663141084,-0.5499954260936698,1.0,1244,incomplete,131.0,0,60,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
