Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 17:08:40,1490155720000
Duration,  1 day, 4 hours, 8 minutes, 40 seconds,101320000
Slew time, 0 day, 0 hour, 29 minutes, 32 seconds,1772000.0
Integration time, 1 day, 1 hour, 22 minutes, 8 seconds,9.1328E7
Waiting time, 0 day, 2 hours, 17 minutes, 0 second,8220000.0
Relative slew time, 0.017489143308330044
Relative integration time, 0.9013817607579945
Relative waiting time, 0.08112909593367548
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:10:18,J2007+0910,5.27075639456212,0.16005120117511434,48.0,570,570.0,570.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:10:18,21/03/2017 13:18:30,J1913+1145,5.034102612522718,0.205236660437781,14.0,792,478.0,478.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6582213242210548
21/03/2017 13:18:30,21/03/2017 13:19:05,J1911+09,5.022184922613683,0.15707963267948966,4.0,69,31.0,31.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.197698326210221
21/03/2017 13:19:05,21/03/2017 13:21:08,B1839+09,4.89535468203129,0.16060592498903986,5.0,118,118.0,118.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:21:08,21/03/2017 13:24:41,J0919-6040,2.441124393255954,-1.0585887334479473,127.0,82,86.0,86.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:24:41,21/03/2017 13:28:54,J0955-61,2.596177262341565,-1.0786134777324956,3.0,311,250.0,250.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:28:54,21/03/2017 13:39:15,J1012-5830,2.6743461962152613,-1.020893500114319,3.0,598,618.0,618.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:39:15,21/03/2017 13:43:41,J0735-62,1.9869119092912113,-1.098975652339096,17.0,327,249.0,249.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:43:41,21/03/2017 13:45:41,J0532-6639,1.4529509684797177,-1.163081110951167,12.0,189,108.0,108.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.750011248981243
21/03/2017 13:45:41,21/03/2017 14:12:54,J0542-68,1.494801782280977,-1.1914781026947956,1.0,1410,1632.0,1632.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:12:54,21/03/2017 14:25:56,J0456-7031,1.2917254516062198,-1.2307160131617148,6.0,374,776.0,776.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:25:56,21/03/2017 14:26:42,B0538-75,1.4683156836614413,-1.3212302426111842,6.0,1410,incomplete,40.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 61 [+]
21/03/2017 14:26:42,21/03/2017 14:36:14,B0021-72I,0.10529665915949607,-1.2576082935314208,19.0,253,553.0,553.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
