Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 20:55:51,1490082951000
Duration,  0 day, 7 hours, 55 minutes, 51 seconds,28551000
Slew time, 0 day, 0 hour, 7 minutes, 46 seconds,466000.0
Integration time, 0 day, 5 hours, 13 minutes, 5 seconds,1.8785E7
Waiting time, 0 day, 2 hours, 35 minutes, 0 second,9300000.0
Relative slew time, 0.016321669994045742
Relative integration time, 0.657945430983153
Relative waiting time, 0.3257328990228013
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:11:10,J2050+13,5.454153912482279,0.22718369096792856,48.0,1181,622.0,622.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.897230786956596
21/03/2017 13:11:10,21/03/2017 13:40:51,B1913+105,5.044853840715002,0.1835184619651171,29.0,1703,1752.0,1752.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:40:51,21/03/2017 13:41:42,J1931+1440,5.1094513852134,0.255981623625835,5.0,123,46.0,46.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.6827762084410907
21/03/2017 13:41:42,21/03/2017 13:45:47,J1934+19,5.122541354603357,0.33161255787892263,3.0,354,242.0,242.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4643996089767368
21/03/2017 13:45:47,21/03/2017 13:48:55,J1909+1859,5.014811197412215,0.33137373865960806,5.0,280,183.0,183.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5322688227969647
21/03/2017 13:48:55,21/03/2017 13:53:10,J1855+0307,4.954308340783102,0.054494027384074065,15.0,477,240.0,240.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.9874215151153651
21/03/2017 13:53:10,21/03/2017 13:57:08,J1853+0011,4.945824440733261,0.0033437599586124698,3.0,475,235.0,235.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:57:08,21/03/2017 14:16:50,B1839-04,4.8975740136193044,-0.06923236328980396,6.0,196,1176.0,1176.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:16:50,21/03/2017 14:21:53,J1918-0642,5.05622126147214,-0.11676791954099563,4.0,892,1469.0,299.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:21:53,21/03/2017 14:27:34,B1830-08,4.8593093423765295,-0.14732881751817412,9.0,472,332.0,332.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4216411318604814
21/03/2017 14:27:34,21/03/2017 14:32:18,B1821-11,4.819256799481241,-0.19701567484720658,4.0,261,280.0,280.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:32:18,21/03/2017 14:41:09,J1831-1423,4.849768209132292,-0.25081350978520733,2.0,529,529.0,529.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:41:09,21/03/2017 14:48:11,J1822-1617,4.8110437163536695,-0.2840280950780217,4.0,486,418.0,418.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1633324189947767
21/03/2017 14:48:11,21/03/2017 14:59:21,J1803-1920,4.727619886990427,-0.33723154844298214,6.0,664,664.0,664.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:59:21,21/03/2017 15:13:43,J1801-2154,4.717358078209222,-0.3820719658088031,3.0,532,859.0,859.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:13:43,21/03/2017 15:14:11,J1812-2102,4.766270930496362,-0.3669263864109412,1.0,739,295.0,27.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:14:11,21/03/2017 15:22:44,J1759-2307,4.710276041158995,-0.4033795270935672,3.0,510,510.0,510.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:22:44,21/03/2017 15:33:17,J1748-2446W,4.660378168675259,-0.432041711920763,3.0,630,630.0,630.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:33:17,21/03/2017 15:34:01,J1758-2846,4.704782980948603,-0.5020633518834133,3.0,89,41.0,41.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.1724039547469784
21/03/2017 15:34:01,21/03/2017 15:39:13,J1740-3052,4.628758693115347,-0.5387041154606287,3.0,262,309.0,309.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:39:13,21/03/2017 16:05:12,B1736-31,4.62252663141084,-0.5499954260936698,1.0,1244,1558.0,1558.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:05:12,21/03/2017 16:21:11,B1727-33,4.5838570437816015,-0.5903120470010577,6.0,6023,incomplete,953.0,0,1800,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:21:11,21/03/2017 16:23:56,J1724-35,4.558436395948356,-0.6251187604226358,4.0,481,incomplete,161.0,0,60,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:23:56,21/03/2017 16:23:59,J1714-3810,4.512093540984777,-0.6659841904170395,3.0,881,incomplete,0.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:23:59,21/03/2017 16:24:04,B1727-33,4.5838570437816015,-0.5903120470010577,5.0,6023,incomplete,0.0,0,1800,3,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:24:04,21/03/2017 16:25:21,J1638-44,4.355905480664847,-0.7795803992241338,14.0,1410,incomplete,63.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:25:21,21/03/2017 16:25:21,J1637-4450,4.354098337668512,-0.7823617753126594,0.0,1106,incomplete,0.0,0,60,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:25:21,21/03/2017 16:25:28,B1600-49,4.20791603178411,-0.8575464870536535,7.0,792,incomplete,0.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:25:28,21/03/2017 16:27:14,J1542-5303,4.114214467510238,-0.9256983945737369,4.0,163,102.0,102.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5971704922111813
21/03/2017 16:27:14,21/03/2017 16:31:27,J1525-5605,4.039088224299186,-0.9787757963816089,3.0,2800,3446.0,250.0,0,60,3,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:31:27,21/03/2017 17:10:46,J1248-6344,3.3544035581675486,-1.112309967824333,20.0,1961,2349.0,2339.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:10:46,21/03/2017 17:30:04,B1232-55,3.2956906821304592,-0.9645852999355328,8.0,1150,1150.0,1150.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:30:04,21/03/2017 17:32:35,J1035-6345,2.7709341714616706,-1.1125581439476928,16.0,135,135.0,135.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:32:35,21/03/2017 17:38:59,J0922-52,2.4521875990520328,-0.9075712110370514,15.0,382,369.0,369.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:38:59,21/03/2017 17:40:59,B0833-45,2.2486103217937075,-0.7881379662280048,10.0,261,110.0,110.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.378075412477063
21/03/2017 17:40:59,21/03/2017 17:51:40,J0923-31,2.4607688012076716,-0.5576326960121882,14.0,640,627.0,627.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:51:40,21/03/2017 17:58:51,J0647+0913,1.7770127956822,0.1611496435324042,57.0,276,374.0,374.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:58:51,21/03/2017 18:10:50,J0519+44,1.3919000784654778,0.767944870877505,39.0,613,incomplete,680.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIRM-5 (PRN 29)
21/03/2017 18:10:50,21/03/2017 18:20:51,J2229+2643,5.889823465786239,0.4665739480767808,81.0,769,incomplete,520.0,9300,1800,1,0,1,1,Aborted: High scintillation; observed until object set.Waited for more observables to rise above the horizon. 
