Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 17:40:01,1490157601000
Duration,  1 day, 4 hours, 40 minutes, 1 second,103201000
Slew time, 0 day, 0 hour, 33 minutes, 0 second,1980000.0
Integration time, 1 day, 4 hours, 7 minutes, 1 second,1.01221E8
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.01918586060212595
Relative integration time, 0.9808141393978741
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:06:40,J1933+0758,5.119589348339765,0.1390785491812607,51.0,395,349.0,349.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1308676481650228
21/03/2017 13:06:40,21/03/2017 13:10:52,J1633-2009,4.336801397560727,-0.3519310992542233,58.0,182,194.0,194.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:10:52,21/03/2017 13:18:02,J1614-23,4.249876728606193,-0.40578905108868163,5.0,427,425.0,425.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0053733873797543
21/03/2017 13:18:02,21/03/2017 13:21:49,J1610-17,4.23322337866008,-0.3112503832723221,4.0,234,223.0,223.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:21:49,21/03/2017 13:29:02,B1620-09,4.290432071770159,-0.15916821001770953,8.0,769,425.0,425.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8099135406760523
21/03/2017 13:29:02,21/03/2017 13:32:26,J1705-04,4.472406208235469,-0.08173958663506777,8.0,261,196.0,196.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3327835395866292
21/03/2017 13:32:26,21/03/2017 13:35:24,J1714-1054,4.514593870582363,-0.19018804377614099,4.0,187,174.0,174.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:35:24,21/03/2017 13:46:23,J1701-3006B,4.455874136855754,-0.5251063328285298,19.0,640,640.0,640.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:46:23,21/03/2017 13:57:15,J1701-3006E,4.455918184602751,-0.525116775715221,2.0,751,650.0,650.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1562544532333412
21/03/2017 13:57:15,21/03/2017 14:49:49,J1700-3312,4.4544424796313695,-0.5792238733004015,4.0,2800,incomplete,3150.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2460 (732)
21/03/2017 14:49:49,21/03/2017 14:54:03,J1759-3107,4.7096296148372865,-0.5429840506374637,2.0,186,252.0,252.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:54:03,21/03/2017 14:57:16,J1803-30,4.7279587717535225,-0.5241708557420082,1.0,234,192.0,192.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.220413096220009
