Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 00:49:45,1490183385000
Duration,  1 day, 11 hours, 49 minutes, 45 seconds,128985000
Slew time, 0 day, 0 hour, 18 minutes, 0 second,1080000.0
Integration time, 0 day, 4 hours, 14 minutes, 45 seconds,1.5285E7
Waiting time, 1 day, 7 hours, 17 minutes, 0 second,1.1262E8
Relative slew time, 0.008373066635655308
Relative integration time, 0.11850215141295499
Relative waiting time, 0.8731247819513897
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:57,B2028+22,5.3698287660044866,0.3922231401079789,58.0,179,179.0,179.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:03:57,21/03/2017 13:08:18,J1739+0612,4.622065719044209,0.10834810070908354,48.0,288,213.0,213.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:08:18,21/03/2017 13:13:43,J1610-17,4.23322337866008,-0.3112503832723221,34.0,234,291.0,291.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:13:43,21/03/2017 13:16:16,J1551-0658,4.150044986222899,-0.1215597583329995,10.0,287,143.0,143.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.001398151192385
21/03/2017 13:16:16,21/03/2017 13:18:39,J1619-42,4.2721296765691195,-0.7336200622549498,28.0,192,115.0,115.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.6646706506318463
21/03/2017 13:18:39,21/03/2017 13:21:35,J1618-4723,4.267824531080867,-0.8269025778235545,5.0,402,171.0,171.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.3487465397621228
21/03/2017 13:21:35,21/03/2017 13:25:20,J1435-5954,3.8179339186763754,-1.0452136936134975,19.0,189,206.0,206.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:25:20,21/03/2017 13:29:20,B1659-60,4.469119171477547,-1.0515899631474501,16.0,346,224.0,224.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5437301662312706
21/03/2017 13:29:20,21/03/2017 13:34:59,J1528-5547,4.052013114630726,-0.973491327257515,13.0,326,326.0,326.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:34:59,21/03/2017 13:35:54,J1454-5846,3.901604130352358,-1.025503399482517,5.0,50,50.0,50.0,0,60,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:35:54,21/03/2017 13:38:35,J1418-5945,3.746080167812813,-1.0428342280666119,3.0,322,158.0,158.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.037443689592381
21/03/2017 13:38:35,21/03/2017 13:43:16,J1549-5722,4.1442770366553185,-1.0012275179537915,8.0,273,273.0,273.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:43:16,21/03/2017 13:45:12,J1617-5055,4.265097454124627,-0.888599482067873,7.0,187,109.0,109.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7097540231594828
21/03/2017 13:45:12,21/03/2017 13:50:48,J1431-4715,3.803699136924599,-0.8245343890428916,16.0,189,320.0,320.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:50:48,21/03/2017 13:54:29,J1233-6344,3.2884839267607657,-1.1120898624131093,23.0,298,198.0,198.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:54:29,21/03/2017 14:06:03,J1210-5559,3.1856613445380235,-0.9770744882118594,8.0,510,686.0,686.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:06:03,21/03/2017 14:10:22,J1222-5738,3.2413891257777854,-1.0057944628298434,1.0,517,258.0,258.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.004315767999568
