Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 00:39:12,1490182752000
Duration,  1 day, 11 hours, 39 minutes, 12 seconds,128352000
Slew time, 0 day, 0 hour, 27 minutes, 13 seconds,1633000.0
Integration time, 0 day, 10 hours, 2 minutes, 59 seconds,3.6179E7
Waiting time, 1 day, 1 hour, 9 minutes, 0 second,9.054E7
Relative slew time, 0.012722824731987036
Relative integration time, 0.2818732859636001
Relative waiting time, 0.7054038893044129
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:38,J1741+1351,4.631750795773232,0.2419420501150206,75.0,263,383.0,383.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:07:38,21/03/2017 13:11:03,J1739+0612,4.622065719044209,0.10834810070908354,7.0,288,198.0,198.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:11:03,21/03/2017 13:12:27,J1800-0125,4.713994683296525,-0.02457714475016682,8.0,85,76.0,76.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1155615542131114
21/03/2017 13:12:27,21/03/2017 13:15:00,J1811-0154,4.761831249211602,-0.033011448360429414,2.0,257,151.0,151.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:15:00,21/03/2017 13:21:30,B1732-07,4.6036674543617995,-0.128899885946366,11.0,245,379.0,379.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:21:30,21/03/2017 13:23:41,J1635-4513,4.345535316025915,-0.7890488104162031,44.0,193,87.0,87.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.217916172130968
21/03/2017 13:23:41,21/03/2017 13:27:26,J1700-3919,4.452209112687287,-0.6862051872797011,7.0,189,218.0,218.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:27:26,21/03/2017 13:30:02,J1709-3626,4.493142901410727,-0.6358641708507474,3.0,153,153.0,153.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:30:02,21/03/2017 13:34:07,J1803-30,4.7279587717535225,-0.5241708557420082,11.0,234,234.0,234.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:34:07,21/03/2017 13:34:52,J1759-2549,4.710579655726789,-0.4505518982655251,3.0,72,42.0,42.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 1.7112243968286351
21/03/2017 13:34:52,21/03/2017 13:40:14,J1659-4316,4.450326338756698,-0.7551167008753467,24.0,318,298.0,298.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:40:14,21/03/2017 13:45:53,J1702-3932,4.460360527514622,-0.6897929054826477,3.0,288,336.0,336.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:45:53,21/03/2017 13:50:30,J1658-47,4.443608275577563,-0.8237954069413236,8.0,284,269.0,269.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.05699385758819
21/03/2017 13:50:30,21/03/2017 13:54:56,B1659-60,4.469119171477547,-1.0515899631474501,14.0,346,252.0,252.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3753646734890528
21/03/2017 13:54:56,21/03/2017 14:01:19,J1731-3123,4.585891152302748,-0.5475340270346767,32.0,298,351.0,351.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:01:19,21/03/2017 14:04:21,J1737-3102,4.61448546321459,-0.5416314204671681,0.0,182,182.0,182.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:04:21,21/03/2017 14:05:18,J1729-2117,4.577911943294944,-0.3713284946354158,8.0,101,49.0,49.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.0676228514503103
21/03/2017 14:05:18,21/03/2017 14:08:16,B1732-02,4.602263067906977,-0.038207681394561425,17.0,194,161.0,161.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:08:16,21/03/2017 14:15:06,J1736+05,4.611596216082018,0.10122909661567112,6.0,455,404.0,404.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:15:06,21/03/2017 14:18:22,J1633-2009,4.336801397560727,-0.3519310992542233,31.0,182,165.0,165.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:18:22,21/03/2017 14:21:55,B1740-13,4.640948436221535,-0.241543872202393,13.0,402,200.0,200.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0096696350815346
21/03/2017 14:21:55,21/03/2017 14:26:33,J1622-4944,4.28751039060232,-0.8678649705541804,41.0,216,237.0,237.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:26:33,21/03/2017 14:34:10,J1714-1054,4.514593870582363,-0.19018804377614099,39.0,187,418.0,418.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:34:10,21/03/2017 14:39:48,J1618-4723,4.267824531080867,-0.8269025778235545,38.0,402,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:39:48,21/03/2017 14:43:38,J1741-2054,4.633647723960444,-0.3642065816599167,31.0,257,199.0,199.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2887657467530116
21/03/2017 14:43:38,21/03/2017 14:47:18,J1619-42,4.2721296765691195,-0.7336200622549498,28.0,192,192.0,192.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:47:18,21/03/2017 14:52:47,J1744-1610,4.643778196715436,-0.2819879991079128,31.0,298,298.0,298.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:52:47,21/03/2017 14:56:07,J1826-1419,4.8289181422777085,-0.2497682514887352,6.0,570,194.0,194.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.935737147160322
21/03/2017 14:56:07,21/03/2017 15:16:30,J1830-1313,4.8463415460342105,-0.23059580965557747,1.0,1293,1222.0,1222.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0578298183581942
