Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 12:17:45,1490138265000
Duration,  0 day, 23 hours, 17 minutes, 45 seconds,83865000
Slew time, 0 day, 0 hour, 12 minutes, 18 seconds,738000.0
Integration time, 0 day, 6 hours, 42 minutes, 27 seconds,2.4147E7
Waiting time, 0 day, 16 hours, 23 minutes, 0 second,5.898E7
Relative slew time, 0.008799856912895726
Relative integration time, 0.2879270255768199
Relative waiting time, 0.7032731175102844
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:05,B1240-64,3.3304633131502555,-1.123585522012738,197.0,234,228.0,228.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0265292443230651
21/03/2017 13:07:05,21/03/2017 13:10:36,J1418-5945,3.746080167812813,-1.0428342280666119,10.0,322,201.0,201.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.605089334105736
21/03/2017 13:10:36,21/03/2017 13:15:38,J1546-5302,4.128241824152621,-0.9254947728276709,12.0,262,incomplete,290.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 29 [-]
21/03/2017 13:15:38,21/03/2017 13:17:05,J1502-5653,3.9398909090989926,-0.9926113607317447,7.0,327,incomplete,80.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 31 [+]
21/03/2017 13:17:05,21/03/2017 13:19:54,J1542-5303,4.114214467510238,-0.9256983945737369,6.0,163,163.0,163.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:19:54,21/03/2017 13:23:59,J1528-5547,4.052013114630726,-0.973491327257515,3.0,326,242.0,242.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3445290613947214
21/03/2017 13:23:59,21/03/2017 13:26:51,J1543-5149,4.11782437563537,-0.9041063203802138,4.0,186,168.0,168.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.104299668624676
21/03/2017 13:26:51,21/03/2017 13:42:43,B1600-49,4.20791603178411,-0.8575464870536535,3.0,792,949.0,949.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:42:43,21/03/2017 13:45:10,J1558-5756,4.18228376277906,-1.0110008769512786,10.0,127,137.0,137.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:45:10,21/03/2017 13:50:45,J1540-5736,4.105815797705537,-1.0050333053505014,2.0,450,333.0,333.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:50:45,21/03/2017 13:59:36,J1502-5653,3.9398909090989926,-0.9926113607317447,5.0,327,606.0,526.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:59:36,21/03/2017 14:01:30,J1526-5633,4.04343336691613,-0.9867752221199162,1.0,196,113.0,113.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7370290235419683
21/03/2017 14:01:30,21/03/2017 14:04:08,J1431-4715,3.803699136924599,-0.8245343890428916,12.0,189,146.0,146.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:04:08,21/03/2017 14:07:03,J1425-5723,3.776933225664942,-1.0013787798222977,8.0,367,167.0,167.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:07:03,21/03/2017 14:17:24,B1552-31,4.1682790954169535,-0.5508448196629737,29.0,592,592.0,592.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:17:24,21/03/2017 14:18:14,J1454-5846,3.901604130352358,-1.025503399482517,29.0,50,21.0,21.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 2.4015577285209098
21/03/2017 14:18:14,21/03/2017 14:28:06,J1028-5819,2.742203143091757,-1.0177926318099422,31.0,370,561.0,561.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
