Start time,  21/03/2017 13:00:00,1490054400000
End time,  25/03/2017 10:40:58,1490391658000
Duration,  3 days, 21 hours, 40 minutes, 58 seconds,337258000
Slew time, 0 day, 2 hours, 57 minutes, 28 seconds,1.0648E7
Integration time, 2 days, 20 hours, 20 minutes, 30 seconds,2.4603E8
Waiting time, 0 day, 22 hours, 23 minutes, 0 second,8.058E7
Relative slew time, 0.0315722681152115
Relative integration time, 0.7295008569107331
Relative waiting time, 0.23892687497405546
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:01:51,J1931+1440,5.1094513852134,0.255981623625835,57.0,123,54.0,54.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.292463070896247
21/03/2017 13:01:51,21/03/2017 13:02:54,J1853+03,4.943645106273938,0.05235987755982989,18.0,50,45.0,45.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1005110230514856
21/03/2017 13:02:54,21/03/2017 13:12:56,B1854+00,4.961156576435615,0.016662076592372534,1.0,400,601.0,601.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:12:56,21/03/2017 13:18:10,J1800-0125,4.713994683296525,-0.02457714475016682,14.0,85,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:18:10,21/03/2017 13:22:26,J1739+0612,4.622065719044209,0.10834810070908354,9.0,288,247.0,247.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:22:26,21/03/2017 13:31:07,J1736+05,4.611596216082018,0.10122909661567112,1.0,455,520.0,520.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:31:07,21/03/2017 13:36:34,J1435-5954,3.8179339186763754,-1.0452136936134975,79.0,189,248.0,248.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:36:34,21/03/2017 13:39:24,J1712-392,4.505494741971195,-0.6931866012504145,31.0,139,139.0,139.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:39:24,21/03/2017 13:44:41,B0021-72I,0.10529665915949607,-1.2576082935314208,72.0,253,245.0,245.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:44:41,21/03/2017 13:50:38,J1923+2515,5.076180559836729,0.4408925499925424,210.0,298,147.0,147.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.0243367349918393
21/03/2017 13:50:38,21/03/2017 13:53:26,J1839-0436,4.882563236665475,-0.08000637772510116,32.0,196,136.0,136.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4390344149609813
21/03/2017 13:53:26,21/03/2017 13:58:36,J1557-4258,4.175718997685893,-0.7498484245282018,55.0,276,255.0,255.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0836429318611953
21/03/2017 13:58:36,21/03/2017 14:00:10,J1619-42,4.2721296765691195,-0.7336200622549498,2.0,192,92.0,92.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.090348370309053
21/03/2017 14:00:10,21/03/2017 14:05:13,J1635-4513,4.345535316025915,-0.7890488104162031,3.0,193,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:05:13,21/03/2017 14:12:49,B1732-07,4.6036674543617995,-0.128899885946366,40.0,245,416.0,416.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:12:49,21/03/2017 14:20:11,J1843-0137,4.9009303544929415,-0.027991687506221278,13.0,405,429.0,429.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:20:11,21/03/2017 14:24:52,J1705-04,4.472406208235469,-0.08173958663506777,20.0,261,261.0,261.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:24:52,21/03/2017 14:26:16,J1800-0125,4.713994683296525,-0.02457714475016682,9.0,85,375.0,75.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.1375077827656845
21/03/2017 14:26:16,21/03/2017 14:30:47,B1732-02,4.602263067906977,-0.038207681394561425,5.0,194,266.0,266.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:30:47,21/03/2017 14:37:07,J1101-6101,2.8874261723860326,-1.0647497457074873,93.0,245,287.0,287.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:37:07,21/03/2017 14:40:25,J0532-6639,1.4529509684797177,-1.163081110951167,25.0,189,173.0,173.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.0952168528659845
21/03/2017 14:40:25,21/03/2017 14:45:03,J0244+14,0.719293817978163,0.2522000769131806,100.0,178,178.0,178.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:45:03,21/03/2017 14:50:39,B2002+31,5.257243393722505,0.551863461688353,95.0,189,241.0,241.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:50:39,21/03/2017 14:59:41,B1915+22,5.051580630540398,0.39060856510577985,14.0,475,528.0,528.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:59:41,21/03/2017 15:05:38,J1808-0813,4.74798147982061,-0.14339916022594076,36.0,280,321.0,321.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
