Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 23:12:25,1490091145000
Duration,  0 day, 10 hours, 12 minutes, 25 seconds,36745000
Slew time, 0 day, 0 hour, 31 minutes, 15 seconds,1875000.0
Integration time, 0 day, 7 hours, 0 minute, 10 seconds,2.521E7
Waiting time, 0 day, 2 hours, 41 minutes, 0 second,9660000.0
Relative slew time, 0.05102735065995374
Relative integration time, 0.6860797387399646
Relative waiting time, 0.26289291060008163
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:11,J1909+1859,5.014811197412215,0.33137373865960806,64.0,280,127.0,127.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.2103300761933604
21/03/2017 13:03:11,21/03/2017 13:08:37,B1848+12,4.935879481933347,0.22677300529866065,8.0,364,318.0,318.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:08:37,21/03/2017 13:14:30,J1557-4258,4.175718997685893,-0.7498484245282018,77.0,276,276.0,276.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:14:30,21/03/2017 13:18:39,B1814-23,4.786565473594449,-0.4046254982540187,33.0,216,216.0,216.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:18:39,21/03/2017 13:22:18,B1821-11,4.819256799481241,-0.19701567484720658,13.0,261,206.0,206.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:22:18,21/03/2017 13:25:07,J1845-1351,4.909574824833966,-0.24146387794500995,4.0,298,165.0,165.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8088511453877008
21/03/2017 13:25:07,21/03/2017 13:30:35,J1737-3102,4.61448546321459,-0.5416314204671681,28.0,182,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:30:35,21/03/2017 13:33:12,J1714-1054,4.514593870582363,-0.19018804377614099,16.0,187,141.0,141.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:33:12,21/03/2017 13:37:38,J1705-04,4.472406208235469,-0.08173958663506777,5.0,261,261.0,261.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:37:38,21/03/2017 13:44:42,J1736+05,4.611596216082018,0.10122909661567112,12.0,455,412.0,412.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:44:42,21/03/2017 13:49:20,J1137-6700,3.0435697995320883,-1.1692105618400666,98.0,370,180.0,180.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.0524973199328387
21/03/2017 13:49:20,21/03/2017 13:57:30,J1832-28,4.8541969821092295,-0.5012003835310382,70.0,415,420.0,420.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:57:30,21/03/2017 13:59:09,J1821-1432,4.8069114311834165,-0.2533965970781589,12.0,189,87.0,87.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.1748703202361224
21/03/2017 13:59:09,21/03/2017 14:02:30,J1813-1246,4.770840784254502,-0.2222424699300602,2.0,211,199.0,199.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:02:30,21/03/2017 14:09:24,J1730-2304,4.583064899920645,-0.4024380674062206,15.0,399,399.0,399.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:09:24,21/03/2017 14:27:26,J1811-0154,4.761831249211602,-0.033011448360429414,23.0,257,1059.0,1059.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:27:26,21/03/2017 14:31:35,J1112-6103,2.933230156943058,-1.065372731287713,99.0,644,incomplete,150.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 19 [+]
21/03/2017 14:31:35,21/03/2017 15:02:42,J2033+1734,5.381978526526395,0.30688045697999955,224.0,1643,1643.0,1643.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:02:42,21/03/2017 15:10:28,J1618-4723,4.267824531080867,-0.8269025778235545,96.0,402,370.0,370.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0867850320859953
21/03/2017 15:10:28,21/03/2017 15:18:03,B1943-29,5.178663434809965,-0.5096986825472073,36.0,326,419.0,419.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:18:03,21/03/2017 15:39:12,J1843-0000,4.902045328996756,1.982887955738002E-4,28.0,892,1241.0,1241.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 15:39:12,21/03/2017 16:10:55,J1918-0642,5.05622126147214,-0.11676791954099563,6.0,892,1897.0,1897.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:10:55,21/03/2017 16:25:52,J0821-4300,2.1901966104620407,-0.750408801269649,135.0,422,762.0,762.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:25:52,21/03/2017 16:37:32,J1237-6725,3.3049191105503795,-1.1764784522149478,40.0,640,incomplete,660.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 911 [-]
21/03/2017 16:37:32,21/03/2017 16:37:43,B1236-68,3.31605285673706,-1.19599802064378,1.0,1238,incomplete,10.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 911 [-]
21/03/2017 16:37:43,21/03/2017 16:39:07,J1237-6725,3.3049191105503795,-1.1764784522149478,1.0,640,743.0,83.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:39:07,21/03/2017 16:59:30,B1236-68,3.31605285673706,-1.19599802064378,1.0,1238,1232.0,1222.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:59:30,21/03/2017 17:41:38,J1248-6344,3.3544035581675486,-1.112309967824333,4.0,1961,2524.0,2524.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:41:38,21/03/2017 17:45:15,J1322-62,3.503312141065618,-1.096939434878436,1.0,532,216.0,216.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.461898559087579
21/03/2017 17:45:15,21/03/2017 18:16:37,J1305-6203,3.4267285479291503,-1.0828720811073618,2.0,768,incomplete,1880.0,0,180,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 42 [-]
21/03/2017 18:16:37,21/03/2017 18:35:25,B1232-55,3.2956906821304592,-0.9645852999355328,10.0,1150,1118.0,1118.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0289462802994793
21/03/2017 18:35:25,21/03/2017 18:55:01,J1143-5536,3.0681281092707438,-0.9703812474931973,7.0,1211,1369.0,1169.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:55:01,21/03/2017 18:56:41,J0806-4123,2.122276737193805,-0.7218347264808581,32.0,135,68.0,68.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.9850388687981575
21/03/2017 18:56:41,21/03/2017 19:02:19,B0919+06,2.453207307667511,0.1158864686366557,38.0,72,incomplete,300.0,0,60,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 19:02:19,21/03/2017 19:11:18,J0647+0913,1.7770127956822,0.1611496435324042,29.0,276,510.0,510.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:11:18,21/03/2017 19:21:52,J0633+0632,1.7180010320107069,0.11419737777167009,5.0,938,709.0,629.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.288377130387011
21/03/2017 19:21:52,21/03/2017 19:22:46,B0919+06,2.453207307667511,0.1158864686366557,29.0,72,325.0,25.0,0,60,2,0,1,0,Completed: Shortened interval; scintillation of 2.8632166334245
21/03/2017 19:22:46,21/03/2017 19:32:47,J0214+5222,0.5887047417800069,0.9141692828301117,95.0,6023,incomplete,506.0,0,1800,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 19:32:47,21/03/2017 19:48:26,B0943+10,2.5574600417681577,0.1721815788460517,265.0,769,674.0,674.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:48:26,21/03/2017 19:58:03,B0940+16,2.5460063185519446,0.2884495958497406,8.0,542,569.0,569.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:58:03,21/03/2017 20:12:42,J1525-5605,4.039088224299186,-0.9787757963816089,99.0,2800,incomplete,780.0,3060,60,3,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 65 [+]Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
21/03/2017 21:49:42,21/03/2017 22:54:25,B1309-12,3.455217339143297,-0.21757662306306202,104.0,825,1019.0,1019.0,6600,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
