Start time,  21/03/2017 13:00:00,1490097600000
End time,  23/03/2017 00:03:17,1490223797000
Duration,  1 day, 11 hours, 3 minutes, 17 seconds,126197000
Slew time, 0 day, 1 hour, 41 minutes, 52 seconds,6112000.0
Integration time, 1 day, 8 hours, 8 minutes, 25 seconds,1.15705E8
Waiting time, 0 day, 1 hour, 13 minutes, 0 second,4380000.0
Relative slew time, 0.04843221312709494
Relative integration time, 0.9168601472301243
Relative waiting time, 0.03470763964278073
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:01:52,B0919+06,2.453207307667511,0.1158864686366557,40.0,72,72.0,72.0,0,60,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:01:52,21/03/2017 13:07:33,J0647+0913,1.7770127956822,0.1611496435324042,43.0,276,298.0,298.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:07:33,21/03/2017 13:14:33,J0721-2038,1.9273456181553335,-0.3600853696341402,25.0,364,395.0,395.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:14:33,21/03/2017 13:27:56,J0821-4300,2.1901966104620407,-0.750408801269649,43.0,422,760.0,760.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:27:56,21/03/2017 13:51:00,B0950-38,2.5843381122488704,-0.6745203049003351,15.0,1045,1369.0,1369.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:51:00,21/03/2017 13:56:08,J0922-52,2.4521875990520328,-0.9075712110370514,16.0,382,292.0,292.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:56:08,21/03/2017 14:20:05,J1143-5536,3.0681281092707438,-0.9703812474931973,50.0,1211,1387.0,1387.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:20:05,21/03/2017 14:26:26,J1215-5328,3.207087588211923,-0.9330161722764042,5.0,376,376.0,376.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:26:26,21/03/2017 14:53:06,J1216-50,3.212860264712895,-0.8805137594943283,3.0,1410,1597.0,1597.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:53:06,21/03/2017 15:07:29,J1535-4415,4.083773743693892,-0.7722674696582776,30.0,1150,833.0,833.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 15:07:29,21/03/2017 15:12:06,J1557-4258,4.175718997685893,-0.7498484245282018,1.0,276,276.0,276.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:12:06,21/03/2017 15:18:29,J1715-3247,4.517745498879152,-0.5720316623411414,16.0,367,367.0,367.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:18:29,21/03/2017 15:30:46,B1232-55,3.2956906821304592,-0.9645852999355328,56.0,1150,681.0,681.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.689512283498864
21/03/2017 15:30:46,21/03/2017 15:45:28,J1210-5559,3.1856613445380235,-0.9770744882118594,13.0,510,869.0,869.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:45:28,21/03/2017 15:50:54,J1759-1956,4.710601472342439,-0.34786351246971425,81.0,133,245.0,245.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:50:54,21/03/2017 17:10:20,J1600-3053,4.192564730330353,-0.5387765209294614,29.0,3388,4737.0,4737.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:10:20,21/03/2017 17:20:57,J1748-2446W,4.660378168675259,-0.432041711920763,7.0,630,630.0,630.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0007298214469567
