Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 22:35:44,1490218544000
Duration,  1 day, 9 hours, 35 minutes, 44 seconds,120944000
Slew time, 0 day, 1 hour, 46 minutes, 53 seconds,6413000.0
Integration time, 0 day, 17 hours, 48 minutes, 51 seconds,6.4131E7
Waiting time, 0 day, 14 hours, 0 minute, 0 second,5.04E7
Relative slew time, 0.05302454028310623
Relative integration time, 0.5302536711205186
Relative waiting time, 0.4167217885963752
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:29,J0749-4247,2.050011015904719,-0.7465057311596877,121.0,170,148.0,148.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:04:29,21/03/2017 13:08:42,J0702-4956,1.8441803375041583,-0.8713352668835623,10.0,311,243.0,243.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2805544199332106
21/03/2017 13:08:42,21/03/2017 13:19:02,J0922-52,2.4521875990520328,-0.9075712110370514,32.0,382,588.0,588.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:19:02,21/03/2017 14:00:39,J1012-4235,2.670862809916489,-0.7432193731409187,20.0,2072,2477.0,2477.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:00:39,21/03/2017 14:44:31,J1231-1411,3.2776783897399233,-0.24733434136546098,119.0,829,2513.0,2513.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:44:31,21/03/2017 14:53:57,J1142+0119,3.0630528372500483,0.022980168484592004,53.0,346,513.0,513.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:53:57,21/03/2017 15:00:56,J0843+0719,2.2844774567868544,0.12764077633515641,58.0,395,361.0,361.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0941698205863724
21/03/2017 15:00:56,21/03/2017 15:03:58,J0628+0909,1.6956006764480376,0.1597650156591554,28.0,322,154.0,154.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:03:58,21/03/2017 15:05:38,J0806-4123,2.122276737193805,-0.7218347264808581,41.0,135,59.0,59.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.3025940405907557
21/03/2017 15:05:38,21/03/2017 15:14:03,J0821-4300,2.1901966104620407,-0.750408801269649,2.0,422,503.0,503.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:14:03,21/03/2017 15:35:21,B0840-48,2.2780451912727337,-0.8524924983535592,8.0,1396,incomplete,1270.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0207 (PRN E07)
21/03/2017 15:35:21,21/03/2017 16:02:18,B0940-55,2.540605251737544,-0.9748037178922785,13.0,370,1604.0,1604.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:02:18,21/03/2017 16:05:55,J1729-2117,4.577911943294944,-0.3713284946354158,120.0,101,97.0,97.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0416102544141026
21/03/2017 16:05:55,21/03/2017 16:08:19,B1709-15,4.5025901504856165,-0.26422491064574044,8.0,374,136.0,136.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.747684990493956
21/03/2017 16:08:19,21/03/2017 16:12:22,J1551-0658,4.150044986222899,-0.1215597583329995,22.0,287,221.0,221.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2977302658820016
21/03/2017 16:12:22,21/03/2017 16:16:58,J1705-04,4.472406208235469,-0.08173958663506777,15.0,261,261.0,261.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:16:58,21/03/2017 16:18:35,J1800-0125,4.713994683296525,-0.02457714475016682,12.0,85,85.0,85.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:18:35,21/03/2017 16:24:53,J1739+0612,4.622065719044209,0.10834810070908354,9.0,288,369.0,369.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:24:53,21/03/2017 16:31:42,J1714-1054,4.514593870582363,-0.19018804377614099,16.0,187,393.0,393.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:31:42,21/03/2017 16:35:20,B1821-11,4.819256799481241,-0.19701567484720658,12.0,261,206.0,206.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:35:20,21/03/2017 16:39:01,B1829-08,4.854707490915438,-0.14746267457552845,2.0,182,219.0,219.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:39:01,21/03/2017 16:44:33,B1639+36A,4.370659330608373,0.6362473675842965,52.0,280,280.0,280.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:44:33,21/03/2017 16:50:16,B1310+18,3.459751631817926,0.31706814744563655,43.0,1116,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 16:50:16,21/03/2017 17:00:59,J1811-0154,4.761831249211602,-0.033011448360429414,274.0,257,369.0,369.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
