Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 22:29:29,1490218169000
Duration,  1 day, 9 hours, 29 minutes, 29 seconds,120569000
Slew time, 0 day, 2 hours, 25 minutes, 39 seconds,8739000.0
Integration time, 0 day, 18 hours, 5 minutes, 50 seconds,6.515E7
Waiting time, 0 day, 12 hours, 58 minutes, 0 second,4.668E7
Relative slew time, 0.07248131775166088
Relative integration time, 0.5403544858131029
Relative waiting time, 0.38716419643523625
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:28,J0838-2621,2.261568628635438,-0.459750995457738,71.0,179,197.0,197.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:04:28,21/03/2017 13:14:30,J0821-4300,2.1901966104620407,-0.750408801269649,54.0,422,548.0,548.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:14:30,21/03/2017 13:40:11,B0840-48,2.2780451912727337,-0.8524924983535592,16.0,1396,1525.0,1525.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:40:11,21/03/2017 13:49:26,J0843+0719,2.2844774567868544,0.12764077633515641,255.0,395,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:49:26,21/03/2017 13:58:36,J0721-2038,1.9273456181553335,-0.3600853696341402,50.0,364,500.0,500.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:58:36,21/03/2017 14:05:46,J1012+5307,2.672785151988384,0.9270733295670593,278.0,189,152.0,152.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2402094349274935
21/03/2017 14:05:46,21/03/2017 14:21:09,J1231-1411,3.2776783897399233,-0.24733434136546098,299.0,829,624.0,624.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:21:09,21/03/2017 14:23:53,B0919+06,2.453207307667511,0.1158864686366557,92.0,72,72.0,72.0,0,60,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:23:53,21/03/2017 14:36:52,J0628+0909,1.6956006764480376,0.1597650156591554,33.0,322,746.0,746.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:36:52,21/03/2017 14:45:08,J1701-3006B,4.455874136855754,-0.5251063328285298,174.0,640,322.0,322.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.9873641168792007
21/03/2017 14:45:08,21/03/2017 14:50:24,J0855-4644,2.337008958389797,-0.8155855720654147,120.0,196,196.0,196.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:50:24,21/03/2017 15:19:48,J1720-2446,4.539489392476914,-0.43212897838336267,124.0,5293,incomplete,1640.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-4  (PRN 27)
21/03/2017 15:19:48,21/03/2017 15:27:38,J1142+0119,3.0630528372500483,0.022980168484592004,121.0,346,349.0,349.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:27:38,21/03/2017 15:36:40,J1215-5328,3.207087588211923,-0.9330161722764042,166.0,376,376.0,376.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:36:40,21/03/2017 15:41:58,B1732-07,4.6036674543617995,-0.128899885946366,92.0,245,226.0,226.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:41:58,21/03/2017 15:59:08,B1309-12,3.455217339143297,-0.21757662306306202,63.0,825,967.0,967.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:59:08,21/03/2017 16:09:37,B1821-11,4.819256799481241,-0.19701567484720658,70.0,261,559.0,559.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:09:37,21/03/2017 16:14:09,J1741-2054,4.633647723960444,-0.3642065816599167,15.0,257,257.0,257.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:14:09,21/03/2017 16:19:25,J1800-0125,4.713994683296525,-0.02457714475016682,16.0,85,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
