Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 07:14:00,1490163240000
Duration,  0 day, 18 hours, 14 minutes, 0 second,65640000
Slew time, 0 day, 1 hour, 20 minutes, 49 seconds,4849000.0
Integration time, 0 day, 16 hours, 53 minutes, 11 seconds,6.0791E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.07387263863497867
Relative integration time, 0.9261273613650213
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:12:21,B0559-05,1.579448949277968,-0.09487532243652198,75.0,751,666.0,666.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:12:21,21/03/2017 13:33:03,J1231-1411,3.2776783897399233,-0.24733434136546098,214.0,829,1028.0,1028.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:33:03,21/03/2017 13:39:41,B0833-45,2.2486103217937075,-0.7881379662280048,161.0,261,237.0,237.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1020494125779192
21/03/2017 13:39:41,21/03/2017 14:09:23,B0840-48,2.2780451912727337,-0.8524924983535592,8.0,1396,1774.0,1774.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:09:23,21/03/2017 14:18:06,B1552-31,4.1682790954169535,-0.5508448196629737,112.0,592,411.0,411.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4409198856367995
21/03/2017 14:18:06,21/03/2017 14:22:11,J0702-4956,1.8441803375041583,-0.8713352668835623,119.0,311,126.0,126.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.471775630134221
21/03/2017 14:22:11,21/03/2017 15:23:13,J1143-5536,3.0681281092707438,-0.9703812474931973,61.0,1211,3601.0,3601.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:23:13,21/03/2017 15:27:47,J1633-2009,4.336801397560727,-0.3519310992542233,73.0,182,201.0,201.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:27:47,21/03/2017 15:33:11,J1610-17,4.23322337866008,-0.3112503832723221,6.0,234,318.0,318.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:33:11,21/03/2017 15:38:26,J1551-0658,4.150044986222899,-0.1215597583329995,15.0,287,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:38:26,21/03/2017 15:49:23,J1701-3006B,4.455874136855754,-0.5251063328285298,33.0,640,624.0,624.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0254676339113615
21/03/2017 15:49:23,21/03/2017 15:54:13,B1709-15,4.5025901504856165,-0.26422491064574044,15.0,374,275.0,275.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.361497529536899
21/03/2017 15:54:13,21/03/2017 15:59:25,J1759-2307,4.710276041158995,-0.4033795270935672,12.0,510,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:59:25,21/03/2017 16:01:30,B1740-13,4.640948436221535,-0.241543872202393,11.0,402,114.0,114.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 3.527990494058693
