Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 01:54:51,1490144091000
Duration,  0 day, 12 hours, 54 minutes, 51 seconds,46491000
Slew time, 0 day, 1 hour, 1 minute, 15 seconds,3675000.0
Integration time, 0 day, 11 hours, 53 minutes, 36 seconds,4.2816E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.07904755759179195
Relative integration time, 0.9209524424082081
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:35,B0950-38,2.5843381122488704,-0.6745203049003351,175.0,1045,incomplete,280.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2424 (715)
21/03/2017 13:07:35,21/03/2017 13:18:52,J1400-1438,3.667397816250821,-0.2553300340384238,88.0,395,589.0,589.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:18:52,21/03/2017 13:35:54,B0950-38,2.5843381122488704,-0.6745203049003351,122.0,1045,1180.0,900.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:35:54,21/03/2017 13:42:24,J1610-17,4.23322337866008,-0.3112503832723221,106.0,234,284.0,284.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:42:24,21/03/2017 13:44:56,B0919+06,2.453207307667511,0.1158864686366557,129.0,72,23.0,23.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 3.0856976033962287
21/03/2017 13:44:56,21/03/2017 13:49:57,B1310+18,3.459751631817926,0.31706814744563655,291.0,1116,incomplete,10.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite COSMOS 2476 (744)
21/03/2017 13:49:57,21/03/2017 14:01:52,J1701-3006B,4.455874136855754,-0.5251063328285298,75.0,640,640.0,640.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:01:52,21/03/2017 14:08:37,J1548-4821,4.138121842159952,-0.8436257409397468,22.0,432,383.0,383.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1264887278407159
21/03/2017 14:08:37,21/03/2017 14:12:28,J1714-1054,4.514593870582363,-0.19018804377614099,31.0,187,200.0,200.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:12:28,21/03/2017 14:21:43,J1738-2736,4.6174596497040925,-0.48158579162070875,16.0,769,539.0,539.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:21:43,21/03/2017 14:36:05,J1750-2438,4.673103582417705,-0.429651580472893,2.0,769,860.0,860.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:36:05,21/03/2017 14:51:44,J1142+0119,3.0630528372500483,0.022980168484592004,108.0,346,831.0,831.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:51:44,21/03/2017 15:29:09,J1012-4235,2.670862809916489,-0.7432193731409187,132.0,2072,2363.0,2113.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:29:09,21/03/2017 15:32:58,J1800-0125,4.713994683296525,-0.02457714475016682,146.0,85,83.0,83.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0272687750274874
21/03/2017 15:32:58,21/03/2017 15:41:46,J1759-2307,4.710276041158995,-0.4033795270935672,18.0,510,510.0,510.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:41:46,21/03/2017 16:08:19,B1633+24,4.343381361562797,0.4243443251057869,53.0,825,incomplete,1540.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 10 [+]
21/03/2017 16:08:19,21/03/2017 16:11:36,J1840-0840,4.8906961800915605,-0.15112127253865346,41.0,192,156.0,156.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.2275677771751836
21/03/2017 16:11:36,21/03/2017 16:15:01,J1619-42,4.2721296765691195,-0.7336200622549498,42.0,192,163.0,163.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.1769231183772606
21/03/2017 16:15:01,21/03/2017 16:16:53,B1633+24,4.343381361562797,0.4243443251057869,69.0,825,1583.0,43.0,0,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:16:53,21/03/2017 16:24:53,J1618-4723,4.267824531080867,-0.8269025778235545,78.0,402,402.0,402.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:24:53,21/03/2017 16:57:47,B1842-04,4.911262630942696,-0.07955889469743707,42.0,1244,1932.0,1932.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:57:47,21/03/2017 16:59:46,J1821-1432,4.8069114311834165,-0.2533965970781589,17.0,189,102.0,102.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.844584722192087
21/03/2017 16:59:46,21/03/2017 17:03:31,J1635-4513,4.345535316025915,-0.7890488104162031,32.0,193,193.0,193.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:03:31,21/03/2017 17:08:02,B1732-07,4.6036674543617995,-0.128899885946366,47.0,245,224.0,224.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:08:02,21/03/2017 17:36:13,J1637-4450,4.354098337668512,-0.7823617753126594,46.0,1106,1645.0,1645.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:36:13,21/03/2017 17:40:46,B1817-13,4.801092358013162,-0.24019948386467627,38.0,543,385.0,235.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.6732243249386933
21/03/2017 17:40:46,21/03/2017 18:13:59,B1736-31,4.62252663141084,-0.5499954260936698,16.0,1244,1977.0,1977.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:13:59,21/03/2017 19:15:58,B1813-26,4.784776656555258,-0.467782176492158,6.0,3388,3713.0,3713.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:15:58,21/03/2017 19:22:14,J1853+0011,4.945824440733261,0.0033437599586124698,36.0,475,340.0,340.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
