Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 02:41:39,1490146899000
Duration,  0 day, 13 hours, 41 minutes, 39 seconds,49299000
Slew time, 0 day, 0 hour, 41 minutes, 13 seconds,2473000.0
Integration time, 0 day, 5 hours, 20 minutes, 26 seconds,1.9226E7
Waiting time, 0 day, 7 hours, 40 minutes, 0 second,2.76E7
Relative slew time, 0.05016328931621331
Relative integration time, 0.3899876265238646
Relative waiting time, 0.5598490841599221
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:42:10,J1012-4235,2.670862809916489,-0.7432193731409187,157.0,2072,2373.0,2373.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:42:10,21/03/2017 13:57:08,B0940+16,2.5460063185519446,0.2884495958497406,172.0,542,726.0,726.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:57:08,21/03/2017 14:04:35,B0919+06,2.453207307667511,0.1158864686366557,375.0,72,72.0,72.0,0,60,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:04:35,21/03/2017 14:31:35,J1216-50,3.212860264712895,-0.8805137594943283,183.0,1410,1437.0,1437.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:31:35,21/03/2017 14:35:43,J1700-3919,4.452209112687287,-0.6862051872797011,43.0,189,205.0,205.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:35:43,21/03/2017 14:41:29,J1731-3123,4.585891152302748,-0.5475340270346767,8.0,298,338.0,338.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:41:29,21/03/2017 14:51:07,B0940-55,2.540605251737544,-0.9748037178922785,93.0,370,485.0,485.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:51:07,21/03/2017 15:07:16,J1637-4450,4.354098337668512,-0.7823617753126594,85.0,1106,884.0,884.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:07:16,21/03/2017 15:10:17,J1759-3107,4.7096296148372865,-0.5429840506374637,17.0,186,164.0,164.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:10:17,21/03/2017 15:14:31,J1740-3052,4.628758693115347,-0.5387041154606287,3.0,262,251.0,251.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:14:31,21/03/2017 15:48:10,J1725-4043,4.56268481823592,-0.7105865642654359,8.0,2597,2491.0,2011.0,0,5400,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:48:10,21/03/2017 15:52:48,J1741-2054,4.633647723960444,-0.3642065816599167,21.0,257,257.0,257.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:52:48,21/03/2017 15:54:50,J1601-50,4.194898857168371,-0.8793550547964764,30.0,187,92.0,92.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.032955451214165
21/03/2017 15:54:50,21/03/2017 15:57:01,J1759-1956,4.710601472342439,-0.34786351246971425,30.0,133,101.0,101.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:57:01,21/03/2017 16:04:03,J1824-2452F,4.8194947460359305,-0.43395090819697235,7.0,415,415.0,415.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:04:03,21/03/2017 16:08:15,B1732-07,4.6036674543617995,-0.128899885946366,23.0,245,229.0,229.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:08:15,21/03/2017 16:14:38,J1528-5547,4.052013114630726,-0.973491327257515,57.0,326,326.0,326.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:14:38,21/03/2017 16:16:36,J1811-1736,4.7643877202334615,-0.3069951735932237,44.0,167,74.0,74.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.252810209409267
21/03/2017 16:16:36,21/03/2017 16:25:31,J0955-61,2.596177262341565,-1.0786134777324956,113.0,311,422.0,422.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:25:31,21/03/2017 16:34:22,J1222-5738,3.2413891257777854,-1.0057944628298434,15.0,517,516.0,516.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0027717397423948
21/03/2017 16:34:22,21/03/2017 16:39:22,B1747-46,4.676190342643962,-0.8193118500184227,69.0,231,231.0,231.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:39:22,21/03/2017 16:42:34,J1233-6344,3.2884839267607657,-1.1120898624131093,65.0,298,127.0,127.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:42:34,21/03/2017 17:12:06,J1848-1414,4.9246755589663245,-0.24833611187473761,95.0,1728,1677.0,1677.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:12:06,21/03/2017 17:16:34,J1435-5954,3.8179339186763754,-1.0452136936134975,74.0,189,194.0,194.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:16:34,21/03/2017 17:29:44,J1659-4316,4.450326338756698,-0.7551167008753467,51.0,318,739.0,739.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:29:44,21/03/2017 17:34:21,J1823-1126,4.8141896723303885,-0.19952991859744063,36.0,192,241.0,241.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:34:21,21/03/2017 17:39:08,J1748-2446E,4.660378168675259,-0.432041711920763,14.0,344,273.0,273.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:39:08,21/03/2017 17:42:39,J1305-6203,3.4267285479291503,-1.0828720811073618,105.0,768,996.0,106.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:42:39,21/03/2017 18:01:27,B1941-17,5.166554922236046,-0.31119705376740003,99.0,640,1029.0,1029.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:01:27,21/03/2017 18:06:46,J1821-1432,4.8069114311834165,-0.2533965970781589,19.0,189,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:06:46,21/03/2017 18:08:49,B1839+09,4.89535468203129,0.16060592498903986,19.0,118,104.0,104.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1333812006961228
21/03/2017 18:08:49,21/03/2017 18:17:09,B1911+09,5.034744021022826,0.16775426031015941,5.0,910,495.0,495.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8374813614455143
21/03/2017 18:17:09,21/03/2017 18:18:20,J1911+09,5.022184922613683,0.15707963267948966,2.0,69,69.0,69.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:18:20,21/03/2017 18:24:35,J1857+0526,4.962251479653032,0.09496869755150368,5.0,370,370.0,370.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:24:35,21/03/2017 18:29:06,J1211-6324,3.1913476272410213,-1.1063196099805435,143.0,128,428.0,128.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:29:06,21/03/2017 18:47:30,B1914+09,5.046353696679909,0.1720408859157937,145.0,475,959.0,959.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:47:30,21/03/2017 18:58:15,J2033+1734,5.381978526526395,0.30688045697999955,15.0,1643,incomplete,630.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 63 [-]
21/03/2017 18:58:15,21/03/2017 19:01:39,J1913+3732,5.03293956874242,0.6551398779979815,28.0,613,176.0,176.0,27600,5400,1,0,1,0,Completed: Shortened interval; scintillation of 3.4749190403839476Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
