Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 20:38:48,1490081928000
Duration,  0 day, 7 hours, 38 minutes, 48 seconds,27528000
Slew time, 0 day, 0 hour, 13 minutes, 18 seconds,798000.0
Integration time, 0 day, 5 hours, 30 minutes, 30 seconds,1.983E7
Waiting time, 0 day, 1 hour, 55 minutes, 0 second,6900000.0
Relative slew time, 0.02898866608544028
Relative integration time, 0.720357454228422
Relative waiting time, 0.2506538796861377
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:06:33,J1709-1640,4.491782366353361,-0.29060832572761713,93.0,653,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:06:33,21/03/2017 13:11:25,J1559-4438,4.187446746757646,-0.778776084707186,35.0,257,257.0,257.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:11:25,21/03/2017 13:34:53,J1825-0935,4.823699462370141,-0.1671526065319025,52.0,769,1356.0,1356.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:34:53,21/03/2017 13:41:48,J1649-3805,4.406099840955266,-0.6643930319156381,43.0,262,372.0,372.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:41:48,21/03/2017 13:47:32,J1622-4347,4.286969338534202,-0.7640595740370931,8.0,612,336.0,336.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8198429436382286
21/03/2017 13:47:32,21/03/2017 14:11:53,J1843-0702,4.901643830546746,-0.1224901157870487,51.0,4689,incomplete,1410.0,0,1800,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-9  (PRN 21)
21/03/2017 14:11:53,21/03/2017 14:25:14,J1740-3015,4.627581977589243,-0.527751204777002,34.0,606,767.0,767.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:25:14,21/03/2017 14:30:50,J1739-3131,4.62252663141084,-0.5499954260936698,2.0,529,334.0,334.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5838694424448347
21/03/2017 14:30:50,21/03/2017 14:36:38,J1636-4440,4.347071932988192,-0.7794591958038565,18.0,938,incomplete,330.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite GSAT0211 (PRN E02)
21/03/2017 14:36:38,21/03/2017 14:41:57,J1829-1751,4.842062362318582,-0.3115223637474246,36.0,307,283.0,283.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:41:57,21/03/2017 14:47:46,J1722-3712,4.550885665271917,-0.6492445436356896,26.0,236,323.0,323.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:47:46,21/03/2017 15:18:33,J1632-4621,4.332039048530504,-0.8087244888503525,13.0,1709,1834.0,1834.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:18:33,21/03/2017 15:53:56,J1750-3157,4.6721968111492425,-0.557418893178819,17.0,910,2106.0,2106.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:53:56,21/03/2017 15:56:15,J1719-4006,4.533617959429102,-0.699588565909466,14.0,189,125.0,125.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:56:15,21/03/2017 16:01:04,J1530-5327,4.059844552428529,-0.9326055350885045,22.0,389,267.0,267.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4588760392073434
21/03/2017 16:01:04,21/03/2017 16:10:09,J1632-4818,4.331306519299032,-0.8427390167169976,10.0,890,535.0,535.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6648521720967242
21/03/2017 16:10:09,21/03/2017 16:35:06,J1649-4729,4.403921670048778,-0.8284835552376527,1.0,1410,1496.0,1496.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:35:06,21/03/2017 16:50:11,J1703-4851,4.467635641613352,-0.8523228135651708,2.0,1396,903.0,903.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5454066105254474
21/03/2017 16:50:11,21/03/2017 16:59:42,J0452-1759,1.2765705904504334,-0.3137550713449015,129.0,548,442.0,442.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:59:42,21/03/2017 17:02:29,J0820-3826,2.1860199430233505,-0.6705803210766942,43.0,124,124.0,124.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:02:29,21/03/2017 17:09:51,J0842-4851,2.2780451912727337,-0.8524924983535592,11.0,644,431.0,431.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:09:51,21/03/2017 17:11:13,J1515-5720,3.9931169790221768,-1.0004178791063387,52.0,3388,incomplete,30.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 12 [+]
21/03/2017 17:11:13,21/03/2017 18:22:03,J1016-5819,2.6886869849024815,-1.0178122667640273,36.0,1410,4214.0,4214.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:22:03,21/03/2017 18:27:13,J1412-6145,3.718110539329081,-1.0776011867663389,19.0,613,291.0,291.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.104938805383493
21/03/2017 18:27:13,21/03/2017 18:32:54,J1146-6030,3.0810689984537603,-1.0556362181299903,16.0,273,325.0,325.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:32:54,21/03/2017 18:39:24,J1340-6456,3.5779482376450686,-1.1330924758924554,12.0,378,378.0,378.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:39:24,21/03/2017 18:43:48,J1317-6302,3.4808184831100193,-1.0998861324322198,3.0,261,261.0,261.0,6900,5400,1,0,2,0,Completed: Nominal time; scintillation good.Waited for more observables to rise above the horizon. 
