Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 18:01:32,1490072492000
Duration,  0 day, 5 hours, 1 minute, 32 seconds,18092000
Slew time, 0 day, 0 hour, 13 minutes, 32 seconds,812000.0
Integration time, 0 day, 4 hours, 48 minutes, 0 second,1.728E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.044881715675436654
Relative integration time, 0.9551182843245634
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:09:20,J1709-1640,4.491782366353361,-0.29060832572761713,93.0,653,467.0,467.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3977903779801883
21/03/2017 13:09:20,21/03/2017 13:11:55,J1559-4438,4.187446746757646,-0.778776084707186,35.0,257,120.0,120.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.141802463352483
21/03/2017 13:11:55,21/03/2017 13:24:09,J1825-0935,4.823699462370141,-0.1671526065319025,52.0,769,682.0,682.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:24:09,21/03/2017 13:29:04,J1649-3805,4.406099840955266,-0.6643930319156381,42.0,262,253.0,253.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:29:04,21/03/2017 13:39:24,J1622-4347,4.286969338534202,-0.7640595740370931,8.0,612,612.0,612.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:39:24,21/03/2017 14:11:55,J1843-0702,4.901643830546746,-0.1224901157870487,51.0,4689,incomplete,1900.0,0,1800,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-9  (PRN 21)
21/03/2017 14:11:55,21/03/2017 14:27:49,J1740-3015,4.627581977589243,-0.527751204777002,35.0,606,919.0,919.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:27:49,21/03/2017 14:33:44,J1739-3131,4.62252663141084,-0.5499954260936698,2.0,529,353.0,353.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4976236213400722
21/03/2017 14:33:44,21/03/2017 14:36:42,J1636-4440,4.347071932988192,-0.7794591958038565,18.0,938,incomplete,160.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite GSAT0211 (PRN E02)
21/03/2017 14:36:42,21/03/2017 14:42:00,J1829-1751,4.842062362318582,-0.3115223637474246,36.0,307,282.0,282.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:42:00,21/03/2017 14:42:45,J1646-4346,4.393233710041876,-0.7636882067573633,35.0,231,incomplete,10.0,0,600,1,0,1,2,Aborted: High scintillation; interrupted by satellite GSAT0211 (PRN E02)
21/03/2017 14:42:45,21/03/2017 14:46:38,J1632-4621,4.332039048530504,-0.8087244888503525,3.0,1709,incomplete,230.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2434 (721)
21/03/2017 14:46:38,21/03/2017 14:50:19,J1643-4505,4.379101633644374,-0.7866295901474666,1.0,1728,incomplete,220.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2434 (721)
21/03/2017 14:50:19,21/03/2017 14:52:11,J1600-5044,4.192646727934829,-0.885362090230896,9.0,192,103.0,103.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8612626171322495
21/03/2017 14:52:11,21/03/2017 14:55:47,J1719-4006,4.533617959429102,-0.699588565909466,16.0,189,200.0,200.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:55:47,21/03/2017 15:15:24,J1602-5100,4.198884025627092,-0.8901082222434858,17.0,864,1160.0,1160.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:15:24,21/03/2017 15:24:57,J1632-4818,4.331306519299032,-0.8427390167169976,3.0,890,incomplete,570.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite GPS BIIR-8  (PRN 16)
21/03/2017 15:24:57,21/03/2017 15:46:58,J1649-4729,4.403921670048778,-0.8284835552376527,1.0,1410,1320.0,1320.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:46:58,21/03/2017 15:52:30,J1852-2610,4.943606345420133,-0.45663291626768204,29.0,234,303.0,303.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:52:30,21/03/2017 16:03:41,J1651-5222,4.41444455099726,-0.9136885900652916,36.0,635,635.0,635.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:03:41,21/03/2017 16:11:18,J0738-4042,2.0007530247579957,-0.710150522840646,83.0,374,374.0,374.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:11:18,21/03/2017 16:14:31,J0901-4624,2.363475422055248,-0.8095976382900308,13.0,640,incomplete,180.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0103 (PRN E19)
21/03/2017 16:14:31,21/03/2017 16:19:59,J1522-5829,4.026057886992005,-1.0207136342386272,54.0,395,274.0,274.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:19:59,21/03/2017 16:48:32,J1016-5819,2.6886869849024815,-1.0178122667640273,38.0,1410,1675.0,1675.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:48:32,21/03/2017 17:12:37,J0536-7543,1.4683156836614413,-1.3212302426111842,31.0,1245,1414.0,1414.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:12:37,21/03/2017 17:18:50,J1326-5859,3.5210759567483114,-1.029312289686786,36.0,477,337.0,337.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:18:50,21/03/2017 17:54:39,J1049-5833,2.8354575394668577,-1.0216740501409052,19.0,2202,incomplete,2130.0,0,1800,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 38 [-]
21/03/2017 17:54:39,21/03/2017 17:57:10,J1327-6301,3.521744999628243,-1.0997737041395705,15.0,196,136.0,136.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4452532312152586
21/03/2017 17:57:10,21/03/2017 18:01:32,J1317-6302,3.4808184831100193,-1.0998861324322198,1.0,261,261.0,261.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
