Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 20:38:39,1490081919000
Duration,  0 day, 7 hours, 38 minutes, 39 seconds,27519000
Slew time, 0 day, 0 hour, 11 minutes, 16 seconds,676000.0
Integration time, 0 day, 4 hours, 50 minutes, 23 seconds,1.7423E7
Waiting time, 0 day, 2 hours, 37 minutes, 0 second,9420000.0
Relative slew time, 0.02456484610632654
Relative integration time, 0.6331262037137977
Relative waiting time, 0.3423089501798757
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:24:50,J1652-2404,4.419938702038434,-0.4195044301272704,103.0,1703,1387.0,1387.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:24:50,21/03/2017 13:28:10,J1703-3241,4.465318717031329,-0.5701990666265474,10.0,1211,incomplete,190.0,0,1800,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 30 [+]
21/03/2017 13:28:10,21/03/2017 13:31:53,J1841-0345,4.8940981176919065,-0.06611598094763187,41.0,204,182.0,182.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.1224882173995592
21/03/2017 13:31:53,21/03/2017 13:34:29,B1855+02,4.964272134594528,0.03859655044817938,7.0,182,149.0,149.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:34:29,21/03/2017 13:39:59,J1845-0434,4.911262630942696,-0.07955889469743707,8.0,486,322.0,322.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5103079596767532
21/03/2017 13:39:59,21/03/2017 14:11:52,J1843-0702,4.901643830546746,-0.1224901157870487,3.0,4689,incomplete,1910.0,0,1800,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-9  (PRN 21)
21/03/2017 14:11:52,21/03/2017 14:25:32,J1740-3015,4.627581977589243,-0.527751204777002,35.0,606,785.0,785.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:25:32,21/03/2017 14:32:25,J1739-3131,4.62252663141084,-0.5499954260936698,2.0,529,411.0,411.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.285711167446864
21/03/2017 14:32:25,21/03/2017 14:36:44,J1636-4440,4.347071932988192,-0.7794591958038565,19.0,938,incomplete,240.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite GSAT0211 (PRN E02)
21/03/2017 14:36:44,21/03/2017 14:41:30,J1829-1751,4.842062362318582,-0.3115223637474246,36.0,307,250.0,250.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:41:30,21/03/2017 14:42:15,J1646-4346,4.393233710041876,-0.7636882067573633,35.0,231,incomplete,10.0,0,600,1,0,1,2,Aborted: High scintillation; interrupted by satellite GSAT0211 (PRN E02)
21/03/2017 14:42:15,21/03/2017 14:46:38,J1632-4621,4.332039048530504,-0.8087244888503525,3.0,1709,incomplete,260.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2434 (721)
21/03/2017 14:46:38,21/03/2017 15:03:07,J1746-3239,4.655298315165276,-0.5695794747420894,19.0,450,970.0,970.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:03:07,21/03/2017 15:08:25,J1648-4458,4.399175101703874,-0.7846903354230284,18.0,719,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:08:25,21/03/2017 15:16:31,J1644-4559,4.384360237958581,-0.8025145104090204,1.0,455,485.0,485.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:16:31,21/03/2017 15:35:02,J1602-5100,4.198884025627092,-0.8901082222434858,9.0,864,1102.0,1102.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:35:02,21/03/2017 15:36:49,J1534-5334,4.075952486983392,-0.934821133611175,7.0,1368,incomplete,100.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 8 [+]
21/03/2017 15:36:49,21/03/2017 15:39:52,J1701-4533,4.457073054424386,-0.7947613700207168,15.0,322,168.0,168.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.91579664049036
21/03/2017 15:39:52,21/03/2017 15:56:05,J1649-4729,4.403921670048778,-0.8284835552376527,3.0,1410,incomplete,970.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 37 [+]
21/03/2017 15:56:05,21/03/2017 16:19:22,J1703-4851,4.467635641613352,-0.8523228135651708,1.0,1396,1396.0,1396.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:19:22,21/03/2017 16:30:03,J1651-5222,4.41444455099726,-0.9136885900652916,6.0,635,635.0,635.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:30:03,21/03/2017 16:35:21,J0738-4042,2.0007530247579957,-0.710150522840646,83.0,374,235.0,235.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5907989150822663
21/03/2017 16:35:21,21/03/2017 16:35:53,J0901-4624,2.363475422055248,-0.8095976382900308,12.0,640,incomplete,20.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 920 [-]
21/03/2017 16:35:53,21/03/2017 17:11:17,J1515-5720,3.9931169790221768,-1.0004178791063387,54.0,3388,incomplete,2070.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 12 [+]
21/03/2017 17:11:17,21/03/2017 17:17:09,J1016-5857,2.6893458466951095,-1.028812931595243,40.0,640,312.0,312.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.052343700553785
21/03/2017 17:17:09,21/03/2017 17:34:27,J1515-5720,3.9931169790221768,-1.0004178791063387,35.0,3388,3073.0,1003.0,0,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:34:27,21/03/2017 17:36:12,J1048-5832,2.8283205972672447,-1.02157126964051,34.0,123,71.0,71.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:36:12,21/03/2017 17:44:04,J1412-6145,3.718110539329081,-1.0776011867663389,23.0,613,449.0,449.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3651132444466676
21/03/2017 17:44:04,21/03/2017 17:50:09,J1243-6423,3.3304633131502555,-1.123585522012738,10.0,388,355.0,355.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0932572552138675
21/03/2017 17:50:09,21/03/2017 18:01:39,J1326-6700,3.5170711533355066,-1.1691233438588349,4.0,543,686.0,686.0,9420,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.Waited for more observables to rise above the horizon. 
