Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 15:18:11,1490062691000
Duration,  0 day, 2 hours, 18 minutes, 11 seconds,8291000
Slew time, 0 day, 0 hour, 6 minutes, 48 seconds,408000.0
Integration time, 0 day, 2 hours, 11 minutes, 23 seconds,7883000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.049209986732601615
Relative integration time, 0.9507900132673984
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:13:38,J1555-3134,4.1682790954169535,-0.5508448196629737,116.0,518,702.0,702.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:13:38,21/03/2017 13:23:34,J1851+0118,4.938713096696012,0.02297532034778091,54.0,542,542.0,542.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:23:34,21/03/2017 13:28:07,J1841-0425,4.891697053695527,-0.07699083662859986,9.0,186,264.0,264.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:28:07,21/03/2017 13:34:03,J1739-2903,4.623251961159148,-0.5070011792255139,34.0,322,322.0,322.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:34:03,21/03/2017 14:11:53,J1843-0702,4.901643830546746,-0.1224901157870487,30.0,4689,incomplete,2240.0,0,1800,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-9  (PRN 21)
21/03/2017 14:11:53,21/03/2017 14:23:00,J1651-4246,4.414867793340869,-0.7463658139313195,53.0,844,614.0,614.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3756808469897526
21/03/2017 14:23:00,21/03/2017 14:37:43,J1638-4417,4.357957769699036,-0.7728725171323023,3.0,3073,incomplete,880.0,0,1800,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0211 (PRN E02)
21/03/2017 14:37:43,21/03/2017 14:48:45,J1644-4559,4.384360237958581,-0.8025145104090204,2.0,455,incomplete,660.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2434 (721)
21/03/2017 14:48:45,21/03/2017 14:50:31,J1637-4642,4.351234543254198,-0.8149960386291855,2.0,222,114.0,104.0,0,180,2,0,1,0,Completed: Shortened interval; scintillation of 2.035313266851693
21/03/2017 14:50:31,21/03/2017 14:52:35,J1644-4559,4.384360237958581,-0.8025145104090204,1.0,455,783.0,123.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:52:35,21/03/2017 14:58:40,J1649-4729,4.403921670048778,-0.8284835552376527,1.0,1410,3374.0,364.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:58:40,21/03/2017 15:03:48,J1157-6224,3.129610968274852,-1.0888388285248813,42.0,400,266.0,266.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5053680251924102
21/03/2017 15:03:48,21/03/2017 15:08:17,J1317-6302,3.4808184831100193,-1.0998861324322198,8.0,261,261.0,261.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:08:17,21/03/2017 15:12:36,J1049-5833,2.8354575394668577,-1.0216740501409052,18.0,2202,1911.0,241.0,0,1800,3,0,1,0,Completed: Shortened interval; scintillation of 2.207172310397671
21/03/2017 15:12:36,21/03/2017 15:18:11,J0738-4042,2.0007530247579957,-0.710150522840646,35.0,374,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
