Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 14:48:38,1490060918000
Duration,  0 day, 1 hour, 48 minutes, 38 seconds,6518000
Slew time, 0 day, 0 hour, 10 minutes, 24 seconds,624000.0
Integration time, 0 day, 1 hour, 38 minutes, 14 seconds,5894000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.09573488800245473
Relative integration time, 0.9042651119975452
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:13:43,J1602-5100,4.198884025627092,-0.8901082222434858,224.0,864,599.0,599.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:13:43,21/03/2017 13:21:48,J1356-5521,3.651414818181579,-0.9659769091257897,15.0,507,incomplete,470.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 33 [-]
21/03/2017 13:21:48,21/03/2017 13:26:00,J1701-4533,4.457073054424386,-0.7947613700207168,23.0,322,229.0,229.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.404605435077123
21/03/2017 13:26:00,21/03/2017 13:35:58,J1632-4818,4.331306519299032,-0.8427390167169976,5.0,890,593.0,593.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.501085015296205
21/03/2017 13:35:58,21/03/2017 13:48:04,J1555-3134,4.1682790954169535,-0.5508448196629737,15.0,518,711.0,711.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:48:04,21/03/2017 13:53:50,J1243-6423,3.3304633131502555,-1.123585522012738,46.0,388,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:53:50,21/03/2017 13:55:55,J1637-4642,4.351234543254198,-0.8149960386291855,34.0,222,391.0,91.0,0,180,2,0,1,0,Completed: Shortened interval; scintillation of 2.449142527284584
21/03/2017 13:55:55,21/03/2017 14:01:54,J1412-6145,3.718110539329081,-1.0776011867663389,25.0,613,334.0,334.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8342901293314648
21/03/2017 14:01:54,21/03/2017 14:08:58,J1640-4715,4.3642823338538985,-0.824496932337889,24.0,517,400.0,400.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2909747527710536
21/03/2017 14:08:58,21/03/2017 14:20:57,J1326-6700,3.5170711533355066,-1.1691233438588349,32.0,543,687.0,687.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:20:57,21/03/2017 14:24:20,J1646-4346,4.393233710041876,-0.7636882067573633,35.0,231,168.0,168.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3713306695946654
21/03/2017 14:24:20,21/03/2017 14:36:06,J1016-5819,2.6886869849024815,-1.0178122667640273,56.0,1410,1710.0,650.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:36:06,21/03/2017 14:41:37,J0738-4042,2.0007530247579957,-0.710150522840646,31.0,374,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:41:37,21/03/2017 14:48:38,J1356-5521,3.651414818181579,-0.9659769091257897,59.0,507,832.0,362.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
