Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 15:54:19,1490064859000
Duration,  0 day, 2 hours, 54 minutes, 19 seconds,10459000
Slew time, 0 day, 0 hour, 10 minutes, 35 seconds,635000.0
Integration time, 0 day, 2 hours, 43 minutes, 44 seconds,9824000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.0607132613060522
Relative integration time, 0.9392867386939477
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:12:03,J1847-0402,4.919125986449196,-0.07032615143575517,65.0,597,658.0,658.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:12:03,21/03/2017 13:20:12,J1845-0434,4.911262630942696,-0.07955889469743707,3.0,486,486.0,486.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:20:12,21/03/2017 13:40:18,J1638-4417,4.357957769699036,-0.7728725171323023,58.0,3073,1148.0,1148.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 13:40:18,21/03/2017 13:45:36,J1651-5222,4.41444455099726,-0.9136885900652916,9.0,635,309.0,309.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0557881942405327
21/03/2017 13:45:36,21/03/2017 14:11:54,J1843-0702,4.901643830546746,-0.1224901157870487,58.0,4689,incomplete,1520.0,0,1800,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-9  (PRN 21)
21/03/2017 14:11:54,21/03/2017 14:20:21,J1146-6030,3.0810689984537603,-1.0556362181299903,96.0,273,411.0,411.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:20:21,21/03/2017 14:46:41,J1632-4621,4.332039048530504,-0.8087244888503525,40.0,1709,incomplete,1540.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2434 (721)
21/03/2017 14:46:41,21/03/2017 14:49:54,J1829-1751,4.842062362318582,-0.3115223637474246,36.0,307,157.0,157.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:49:54,21/03/2017 14:54:50,J1651-4246,4.414867793340869,-0.7463658139313195,33.0,844,263.0,263.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 3.203085911142117
21/03/2017 14:54:50,21/03/2017 14:59:32,J1613-4714,4.247624526650597,-0.8242521014289287,8.0,382,274.0,274.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:59:32,21/03/2017 15:03:50,J1841-0345,4.8940981176919065,-0.06611598094763187,54.0,204,204.0,204.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:03:50,21/03/2017 15:13:30,J1632-4621,4.332039048530504,-0.8087244888503525,52.0,1709,2068.0,528.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:13:30,21/03/2017 15:18:38,J1738-3211,4.62033631592164,-0.5614452708004336,18.0,768,590.0,290.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 2.6444121144198127
21/03/2017 15:18:38,21/03/2017 15:24:22,J0820-4114,2.1827851206988833,-0.7194809560590714,98.0,545,246.0,246.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.219439545056869
21/03/2017 15:24:22,21/03/2017 15:54:19,J0855-4644,2.337008958389797,-0.8155855720654147,7.0,3388,3640.0,1790.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
