Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 16:28:34,1490066914000
Duration,  0 day, 3 hours, 28 minutes, 34 seconds,12514000
Slew time, 0 day, 0 hour, 10 minutes, 2 seconds,602000.0
Integration time, 0 day, 3 hours, 18 minutes, 32 seconds,1.1912E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.048106121144318365
Relative integration time, 0.9518938788556817
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:37:42,J1049-5833,2.8354575394668577,-1.0216740501409052,188.0,2202,2074.0,2074.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.061576007229493
21/03/2017 13:37:42,21/03/2017 13:50:28,J1703-3241,4.465318717031329,-0.5701990666265474,57.0,1211,709.0,709.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7075737584830457
21/03/2017 13:50:28,21/03/2017 13:57:43,J1640-4715,4.3642823338538985,-0.824496932337889,17.0,517,418.0,418.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2365475072428955
21/03/2017 13:57:43,21/03/2017 14:03:01,J1602-5100,4.198884025627092,-0.8901082222434858,7.0,864,1041.0,311.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:03:01,21/03/2017 14:07:24,J1243-6423,3.3304633131502555,-1.123585522012738,28.0,388,235.0,235.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6499853803488105
21/03/2017 14:07:24,21/03/2017 14:45:21,J1701-3726,4.456301182562691,-0.6532137132429333,45.0,2454,2232.0,2232.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 14:45:21,21/03/2017 15:36:47,J1534-5334,4.075952486983392,-0.934821133611175,26.0,1368,incomplete,3060.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 8 [+]
21/03/2017 15:36:47,21/03/2017 15:39:44,B1855+02,4.964272134594528,0.03859655044817938,64.0,182,113.0,113.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:39:44,21/03/2017 15:45:04,J1739-2903,4.623251961159148,-0.5070011792255139,37.0,322,283.0,283.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.136826827195258
21/03/2017 15:45:04,21/03/2017 15:53:43,J1651-4246,4.414867793340869,-0.7463658139313195,17.0,844,502.0,502.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.682816365776514
21/03/2017 15:53:43,21/03/2017 16:00:14,J1613-4714,4.247624526650597,-0.8242521014289287,9.0,382,382.0,382.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:00:14,21/03/2017 16:11:25,J1301-6305,3.4110831256260643,-1.1008475179618602,31.0,640,940.0,640.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:11:25,21/03/2017 16:25:32,J0842-4851,2.2780451912727337,-0.8524924983535592,38.0,644,809.0,809.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:25:32,21/03/2017 16:28:34,J0729-1448,1.9603283631217727,-0.2581303178605125,38.0,276,144.0,144.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
