Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 14:37:05,1490060225000
Duration,  0 day, 1 hour, 37 minutes, 5 seconds,5825000
Slew time, 0 day, 0 hour, 3 minutes, 53 seconds,233000.0
Integration time, 0 day, 1 hour, 33 minutes, 12 seconds,5592000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.04
Relative integration time, 0.96
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:21:15,J1848-0123,4.923544127462105,-0.023861414312744807,62.0,659,1213.0,1213.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:21:15,21/03/2017 13:24:51,J1824-1945,4.8171418603991105,-0.34445187859574644,27.0,189,189.0,189.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:24:51,21/03/2017 13:30:06,J1739-2903,4.623251961159148,-0.5070011792255139,15.0,322,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:30:06,21/03/2017 13:37:38,J1717-3425,4.5262382710193565,-0.600104313732108,8.0,656,444.0,444.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.476273125231162
21/03/2017 13:37:38,21/03/2017 13:46:50,J1651-4246,4.414867793340869,-0.7463658139313195,11.0,844,541.0,541.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5588539101330279
21/03/2017 13:46:50,21/03/2017 14:02:31,J1636-4440,4.347071932988192,-0.7794591958038565,3.0,938,938.0,938.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:02:31,21/03/2017 14:19:47,J1649-4729,4.403921670048778,-0.8284835552376527,2.0,1410,1034.0,1034.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:19:47,21/03/2017 14:26:27,J1558-5419,4.183077887588718,-0.9478786204844982,11.0,389,389.0,389.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:26:27,21/03/2017 14:29:02,J1513-5908,3.987758818218554,-1.0320277311146804,8.0,153,147.0,147.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0421659362726943
21/03/2017 14:29:02,21/03/2017 14:31:21,J1340-6456,3.5779482376450686,-1.1330924758924554,12.0,378,127.0,127.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.98273751032149
21/03/2017 14:31:21,21/03/2017 14:33:48,J1048-5832,2.8283205972672447,-1.02157126964051,18.0,123,129.0,129.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:33:48,21/03/2017 14:37:05,J1555-3134,4.1682790954169535,-0.5508448196629737,56.0,518,incomplete,141.0,0,60,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
