Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 17:06:36,1490069196000
Duration,  0 day, 4 hours, 6 minutes, 36 seconds,14796000
Slew time, 0 day, 0 hour, 6 minutes, 19 seconds,379000.0
Integration time, 0 day, 4 hours, 0 minute, 17 seconds,1.4417E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.025615031089483643
Relative integration time, 0.9743849689105164
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:27,J1841-0425,4.891697053695527,-0.07699083662859986,67.0,186,380.0,380.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:07:27,21/03/2017 13:22:52,J1847-0402,4.919125986449196,-0.07032615143575517,0.0,597,925.0,925.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:22:52,21/03/2017 13:26:30,J1845-0434,4.911262630942696,-0.07955889469743707,3.0,486,215.0,215.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.259712646033445
21/03/2017 13:26:30,21/03/2017 13:46:54,J1805-2447,4.736091278847295,-0.43240532218159516,27.0,481,1197.0,1197.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:46:54,21/03/2017 13:53:06,J1758-2846,4.704782980948603,-0.5020633518834133,7.0,562,365.0,365.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5392746507842407
21/03/2017 13:53:06,21/03/2017 13:56:39,J1823-3106,4.816147953567742,-0.5425562025638845,4.0,284,209.0,209.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3581161660395105
21/03/2017 13:56:39,21/03/2017 14:02:29,J1852-2610,4.943606345420133,-0.45663291626768204,8.0,234,342.0,342.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:02:29,21/03/2017 14:48:48,J1701-3726,4.456301182562691,-0.6532137132429333,23.0,2454,2756.0,2756.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 14:48:48,21/03/2017 14:54:09,J1703-3241,4.465318717031329,-0.5701990666265474,10.0,1211,471.0,311.0,0,1800,3,0,1,0,Completed: Shortened interval; scintillation of 3.083581429444836
21/03/2017 14:54:09,21/03/2017 14:59:42,J1340-6456,3.5779482376450686,-1.1330924758924554,45.0,378,288.0,288.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3135398292046025
21/03/2017 14:59:42,21/03/2017 15:27:45,J1515-5720,3.9931169790221768,-1.0004178791063387,13.0,3388,incomplete,1670.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 7 [+]
21/03/2017 15:27:45,21/03/2017 16:04:50,J1643-4505,4.379101633644374,-0.7866295901474666,15.0,1728,incomplete,2210.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 61 [+]
21/03/2017 16:04:50,21/03/2017 16:09:16,J1636-4440,4.347071932988192,-0.7794591958038565,6.0,938,incomplete,260.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 4 [-]
21/03/2017 16:09:16,21/03/2017 16:15:42,J0738-4042,2.0007530247579957,-0.710150522840646,86.0,374,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 16:15:42,21/03/2017 16:22:05,J0820-4114,2.1827851206988833,-0.7194809560590714,5.0,545,378.0,378.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4429700260042182
21/03/2017 16:22:05,21/03/2017 16:23:20,J0820-3826,2.1860199430233505,-0.6705803210766942,2.0,124,73.0,73.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7054829759059933
21/03/2017 16:23:20,21/03/2017 17:04:20,J0855-4644,2.337008958389797,-0.8155855720654147,10.0,3388,incomplete,2450.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-2  (PRN 13)
21/03/2017 17:04:20,21/03/2017 17:06:36,J1513-5908,3.987758818218554,-1.0320277311146804,48.0,153,388.0,88.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.740740444192158
