Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 14:32:10,1490059930000
Duration,  0 day, 1 hour, 32 minutes, 10 seconds,5530000
Slew time, 0 day, 0 hour, 7 minutes, 6 seconds,426000.0
Integration time, 0 day, 1 hour, 25 minutes, 4 seconds,5104000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.07703435804701628
Relative integration time, 0.9229656419529837
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:15:14,J1428-5530,3.789276848633516,-0.9684143583889359,213.0,570,701.0,701.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:15:14,21/03/2017 13:20:02,J1622-4347,4.286969338534202,-0.7640595740370931,18.0,612,incomplete,270.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 28 [-]
21/03/2017 13:20:02,21/03/2017 13:24:52,J1739-3131,4.62252663141084,-0.5499954260936698,19.0,529,271.0,271.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.9506310052156985
21/03/2017 13:24:52,21/03/2017 13:36:39,J1738-3211,4.62033631592164,-0.5614452708004336,1.0,768,706.0,706.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0884864360144135
21/03/2017 13:36:39,21/03/2017 13:55:53,J1703-3241,4.465318717031329,-0.5701990666265474,9.0,1211,1145.0,1145.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0573763535133616
21/03/2017 13:55:53,21/03/2017 13:59:56,J1823-3106,4.816147953567742,-0.5425562025638845,11.0,284,232.0,232.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2245117921830395
21/03/2017 13:59:56,21/03/2017 14:03:35,J1649-3805,4.406099840955266,-0.6643930319156381,16.0,262,203.0,203.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:03:35,21/03/2017 14:07:28,J1701-4533,4.457073054424386,-0.7947613700207168,6.0,322,227.0,227.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4198808107739114
21/03/2017 14:07:28,21/03/2017 14:18:20,J1703-4851,4.467635641613352,-0.8523228135651708,3.0,1396,649.0,649.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.1499143860255776
21/03/2017 14:18:20,21/03/2017 14:21:39,J1243-6423,3.3304633131502555,-1.123585522012738,36.0,388,163.0,163.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.382630076999376
21/03/2017 14:21:39,21/03/2017 14:25:57,J1157-6224,3.129610968274852,-1.0888388285248813,4.0,400,254.0,254.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5724488318725425
21/03/2017 14:25:57,21/03/2017 14:32:10,J1843-0702,4.901643830546746,-0.1224901157870487,90.0,4689,2856.0,283.0,0,1800,2,0,3,0,Completed incrementally checking scint every 1800 seconds.
