Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 15:09:56,1490062196000
Duration,  0 day, 2 hours, 9 minutes, 56 seconds,7796000
Slew time, 0 day, 0 hour, 5 minutes, 25 seconds,325000.0
Integration time, 0 day, 2 hours, 4 minutes, 31 seconds,7471000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.041688045151359675
Relative integration time, 0.9583119548486403
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:13:44,J1825-0935,4.823699462370141,-0.1671526065319025,75.0,769,749.0,749.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:13:44,21/03/2017 14:11:57,J1843-0702,4.901643830546746,-0.1224901157870487,3.0,4689,incomplete,3490.0,0,1800,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-9  (PRN 21)
21/03/2017 14:11:57,21/03/2017 14:22:31,J1707-4053,4.482712959244913,-0.7132767953819126,53.0,581,581.0,581.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:22:31,21/03/2017 14:25:08,J1719-4006,4.533617959429102,-0.699588565909466,0.0,189,157.0,157.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:25:08,21/03/2017 14:28:37,J1600-5044,4.192646727934829,-0.885362090230896,17.0,192,192.0,192.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:28:37,21/03/2017 14:33:40,J1633-5015,4.3327873584472965,-0.8769886792189808,3.0,352,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:33:40,21/03/2017 14:35:23,J1048-5832,2.8283205972672447,-1.02157126964051,45.0,123,58.0,58.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:35:23,21/03/2017 14:38:57,J1341-6220,3.5853884308022166,-1.0878215439778092,19.0,193,195.0,195.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:38:57,21/03/2017 14:40:36,J1327-6301,3.521744999628243,-1.0997737041395705,2.0,196,97.0,97.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.021726772557315
21/03/2017 14:40:36,21/03/2017 14:44:49,J1243-6423,3.3304633131502555,-1.123585522012738,5.0,388,248.0,248.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5645351279341844
21/03/2017 14:44:49,21/03/2017 14:55:03,J1326-5859,3.5210759567483114,-1.029312289686786,6.0,477,608.0,608.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:55:03,21/03/2017 15:00:30,J1638-4725,4.355537507080886,-0.8274218132760228,27.0,1323,incomplete,300.0,0,1800,2,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:00:30,21/03/2017 15:09:56,J0842-4851,2.2780451912727337,-0.8524924983535592,70.0,644,496.0,496.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
