Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 23:12:00,1490091120000
Duration,  0 day, 10 hours, 12 minutes, 0 second,36720000
Slew time, 0 day, 0 hour, 7 minutes, 16 seconds,436000.0
Integration time, 0 day, 3 hours, 59 minutes, 44 seconds,1.4384E7
Waiting time, 0 day, 6 hours, 5 minutes, 0 second,2.19E7
Relative slew time, 0.01187363834422658
Relative integration time, 0.39172113289760346
Relative waiting time, 0.5964052287581699
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:12:19,J1847-0402,4.919125986449196,-0.07032615143575517,65.0,597,674.0,674.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:12:19,21/03/2017 13:17:00,J1559-4438,4.187446746757646,-0.778776084707186,64.0,257,217.0,217.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1847891664501313
21/03/2017 13:17:00,21/03/2017 13:41:54,J1613-4714,4.247624526650597,-0.8242521014289287,2.0,382,1492.0,1492.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:41:54,21/03/2017 13:45:36,J1637-4642,4.351234543254198,-0.8149960386291855,0.0,222,222.0,222.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:45:36,21/03/2017 13:50:36,J1638-4725,4.355537507080886,-0.8274218132760228,0.0,1323,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:50:36,21/03/2017 13:55:53,J1640-4715,4.3642823338538985,-0.824496932337889,0.0,517,317.0,317.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6306043892532458
21/03/2017 13:55:53,21/03/2017 14:26:08,J1649-4729,4.403921670048778,-0.8284835552376527,0.0,1410,1815.0,1815.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:26:08,21/03/2017 14:48:03,J1731-4744,4.588914426177464,-0.8329362780104352,1.0,829,1314.0,1314.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:48:03,21/03/2017 14:57:28,J1703-4851,4.467635641613352,-0.8523228135651708,7.0,1396,558.0,558.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.50180919614967
21/03/2017 14:57:28,21/03/2017 15:00:13,J1701-4533,4.457073054424386,-0.7947613700207168,3.0,322,162.0,162.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.981927146254882
21/03/2017 15:00:13,21/03/2017 15:02:11,J1709-4429,4.49296676860038,-0.7763406802814875,1.0,102,117.0,117.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:02:11,21/03/2017 15:10:55,J1707-4053,4.482712959244913,-0.7132767953819126,2.0,581,522.0,522.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1124793029155426
21/03/2017 15:10:55,21/03/2017 15:13:02,J1719-4006,4.533617959429102,-0.699588565909466,0.0,189,127.0,127.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:13:02,21/03/2017 15:36:57,J1701-3726,4.456301182562691,-0.6532137132429333,4.0,2454,1691.0,1431.0,0,1800,2,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 15:36:57,21/03/2017 15:51:09,J1651-4246,4.414867793340869,-0.7463658139313195,8.0,844,844.0,844.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:51:09,21/03/2017 16:03:11,J1648-4458,4.399175101703874,-0.7846903354230284,3.0,719,719.0,719.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:03:11,21/03/2017 16:04:53,J1643-4505,4.379101633644374,-0.7866295901474666,2.0,1728,incomplete,100.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 61 [+]
21/03/2017 16:04:53,21/03/2017 16:12:23,J1644-4559,4.384360237958581,-0.8025145104090204,0.0,455,incomplete,450.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2424 (715)
21/03/2017 16:12:23,21/03/2017 16:23:02,J1651-5222,4.41444455099726,-0.9136885900652916,4.0,635,635.0,635.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:23:02,21/03/2017 16:30:04,J1136-5525,3.0370307053233345,-0.9671630542779921,44.0,364,378.0,378.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:30:04,21/03/2017 16:38:15,J0842-4851,2.2780451912727337,-0.8524924983535592,25.0,644,466.0,466.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:38:15,21/03/2017 16:44:07,J0738-4042,2.0007530247579957,-0.710150522840646,14.0,374,338.0,338.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1071920784973037
21/03/2017 16:44:07,21/03/2017 16:54:23,J0452-1759,1.2765705904504334,-0.3137550713449015,42.0,548,574.0,574.0,21240,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
21/03/2017 22:59:23,21/03/2017 23:23:00,J1622-4347,4.286969338534202,-0.7640595740370931,145.0,612,612.0,612.0,660,5400,2,0,2,0,Completed: Nominal time; scintillation good.
