Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 15:24:40,1490063080000
Duration,  0 day, 2 hours, 24 minutes, 40 seconds,8680000
Slew time, 0 day, 0 hour, 4 minutes, 17 seconds,257000.0
Integration time, 0 day, 2 hours, 20 minutes, 23 seconds,8423000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.029608294930875575
Relative integration time, 0.9703917050691244
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:12:16,J1847-0402,4.919125986449196,-0.07032615143575517,65.0,597,671.0,671.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:12:16,21/03/2017 13:17:39,J1824-1945,4.8171418603991105,-0.34445187859574644,23.0,189,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:17:39,21/03/2017 13:22:35,J1823-3106,4.816147953567742,-0.5425562025638845,14.0,284,282.0,282.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0077541586738192
21/03/2017 13:22:35,21/03/2017 13:32:08,J1746-3239,4.655298315165276,-0.5695794747420894,7.0,450,566.0,566.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:32:08,21/03/2017 13:38:18,J1722-3632,4.547296613831346,-0.6373685477032304,7.0,399,363.0,363.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:38:18,21/03/2017 13:45:45,J1651-4246,4.414867793340869,-0.7463658139313195,9.0,844,438.0,438.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9262617534852375
21/03/2017 13:45:45,21/03/2017 13:57:11,J1636-4440,4.347071932988192,-0.7794591958038565,3.0,938,683.0,683.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3736751155743456
21/03/2017 13:57:11,21/03/2017 14:22:52,J1649-4729,4.403921670048778,-0.8284835552376527,2.0,1410,1539.0,1539.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:22:52,21/03/2017 14:30:58,J1651-5222,4.41444455099726,-0.9136885900652916,6.0,635,480.0,480.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3234349295009207
21/03/2017 14:30:58,21/03/2017 14:35:05,J1612-5805,4.2431729189492815,-1.0136038416051558,8.0,517,239.0,239.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.16370860990155
21/03/2017 14:35:05,21/03/2017 14:44:11,J1412-6145,3.718110539329081,-1.0776011867663389,13.0,613,533.0,533.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1502866443347053
21/03/2017 14:44:11,21/03/2017 14:50:34,J1340-6456,3.5779482376450686,-1.1330924758924554,5.0,378,378.0,378.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:50:34,21/03/2017 14:58:12,J1146-6030,3.0810689984537603,-1.0556362181299903,12.0,273,446.0,446.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:58:12,21/03/2017 15:12:20,J0842-4851,2.2780451912727337,-0.8524924983535592,29.0,644,819.0,819.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:12:20,21/03/2017 15:24:40,J0452-1759,1.2765705904504334,-0.3137550713449015,54.0,548,686.0,686.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
