Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 14:21:57,1490059317000
Duration,  0 day, 1 hour, 21 minutes, 57 seconds,4917000
Slew time, 0 day, 0 hour, 4 minutes, 4 seconds,244000.0
Integration time, 0 day, 1 hour, 17 minutes, 53 seconds,4673000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.0496237543217409
Relative integration time, 0.9503762456782591
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:10:02,J1847-0402,4.919125986449196,-0.07032615143575517,65.0,597,537.0,537.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:10:02,21/03/2017 13:13:34,J1824-1945,4.8171418603991105,-0.34445187859574644,23.0,189,189.0,189.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:13:34,21/03/2017 13:18:16,J1823-3106,4.816147953567742,-0.5425562025638845,14.0,284,268.0,268.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0592208080998116
21/03/2017 13:18:16,21/03/2017 13:23:48,J1746-3239,4.655298315165276,-0.5695794747420894,7.0,450,325.0,325.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:23:48,21/03/2017 13:26:21,J1722-3712,4.550885665271917,-0.6492445436356896,7.0,236,146.0,146.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:26:21,21/03/2017 13:32:39,J1709-4429,4.49296676860038,-0.7763406802814875,9.0,102,369.0,369.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:32:39,21/03/2017 13:37:19,J1644-4559,4.384360237958581,-0.8025145104090204,4.0,455,276.0,276.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:37:19,21/03/2017 13:41:02,J1637-4642,4.351234543254198,-0.8149960386291855,1.0,222,222.0,222.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:41:02,21/03/2017 13:45:09,J1613-4714,4.247624526650597,-0.8242521014289287,4.0,382,243.0,243.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:45:09,21/03/2017 13:50:22,J1530-5327,4.059844552428529,-0.9326055350885045,9.0,389,304.0,304.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2812686221914704
21/03/2017 13:50:22,21/03/2017 14:00:52,J1428-5530,3.789276848633516,-0.9684143583889359,7.0,570,623.0,623.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:00:52,21/03/2017 14:04:21,J1341-6220,3.5853884308022166,-1.0878215439778092,10.0,193,199.0,199.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:04:21,21/03/2017 14:09:28,J1243-6423,3.3304633131502555,-1.123585522012738,7.0,388,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:09:28,21/03/2017 14:12:45,J1016-5819,2.6886869849024815,-1.0178122667640273,17.0,1410,incomplete,180.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 37 [+]
21/03/2017 14:12:45,21/03/2017 14:21:57,J1555-3134,4.1682790954169535,-0.5508448196629737,60.0,518,569.0,492.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
