Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 15:00:24,1490061624000
Duration,  0 day, 2 hours, 0 minute, 24 seconds,7224000
Slew time, 0 day, 0 hour, 4 minutes, 48 seconds,288000.0
Integration time, 0 day, 1 hour, 55 minutes, 36 seconds,6936000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.03986710963455149
Relative integration time, 0.9601328903654485
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:14:08,J1847-0402,4.919125986449196,-0.07032615143575517,65.0,597,783.0,783.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:14:08,21/03/2017 13:16:07,J1824-1945,4.8171418603991105,-0.34445187859574644,23.0,189,96.0,96.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.9612081321422907
21/03/2017 13:16:07,21/03/2017 13:18:58,J1823-3106,4.816147953567742,-0.5425562025638845,14.0,284,157.0,157.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8135518401645587
21/03/2017 13:18:58,21/03/2017 13:28:41,J1746-3239,4.655298315165276,-0.5695794747420894,7.0,450,576.0,576.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:28:41,21/03/2017 13:34:34,J1722-3712,4.550885665271917,-0.6492445436356896,7.0,236,346.0,346.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:34:34,21/03/2017 13:36:40,J1646-4346,4.393233710041876,-0.7636882067573633,10.0,231,116.0,116.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.9988431431646954
21/03/2017 13:36:40,21/03/2017 13:57:22,J1643-4505,4.379101633644374,-0.7866295901474666,1.0,1728,1241.0,1241.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:57:22,21/03/2017 14:08:59,J1638-4725,4.355537507080886,-0.8274218132760228,4.0,1323,693.0,693.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.9099758930251653
21/03/2017 14:08:59,21/03/2017 14:16:24,J1613-4714,4.247624526650597,-0.8242521014289287,5.0,382,440.0,440.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:16:24,21/03/2017 14:37:48,J1638-4417,4.357957769699036,-0.7728725171323023,4.0,3073,incomplete,1280.0,0,1800,4,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0211 (PRN E02)
21/03/2017 14:37:48,21/03/2017 14:38:05,J1555-3134,4.1682790954169535,-0.5508448196629737,17.0,518,incomplete,0.0,0,60,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:38:05,21/03/2017 14:40:24,J1327-6301,3.521744999628243,-1.0997737041395705,38.0,196,101.0,101.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.9400496010216013
21/03/2017 14:40:24,21/03/2017 14:41:04,J1157-6224,3.129610968274852,-1.0888388285248813,10.0,400,incomplete,30.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 34 [+]
21/03/2017 14:41:04,21/03/2017 14:46:04,J0738-4042,2.0007530247579957,-0.710150522840646,43.0,374,257.0,257.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4566978668006803
21/03/2017 14:46:04,21/03/2017 15:00:24,J0452-1759,1.2765705904504334,-0.3137550713449015,40.0,548,820.0,820.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
