Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 14:29:37,1490059777000
Duration,  0 day, 1 hour, 29 minutes, 37 seconds,5377000
Slew time, 0 day, 0 hour, 2 minutes, 58 seconds,178000.0
Integration time, 0 day, 1 hour, 26 minutes, 39 seconds,5199000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.03310396131671936
Relative integration time, 0.9668960386832807
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:16:35,J1825-0935,4.823699462370141,-0.1671526065319025,75.0,769,920.0,920.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:16:35,21/03/2017 13:17:34,J1739-2903,4.623251961159148,-0.5070011792255139,29.0,322,incomplete,30.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 29 [-]
21/03/2017 13:17:34,21/03/2017 13:19:22,J1757-2421,4.701432399661496,-0.4252426848568829,7.0,234,101.0,101.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.322349349243357
21/03/2017 13:19:22,21/03/2017 13:22:34,J1824-1945,4.8171418603991105,-0.34445187859574644,8.0,189,184.0,184.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.0299213586729705
21/03/2017 13:22:34,21/03/2017 13:29:52,J1829-1751,4.842062362318582,-0.3115223637474246,2.0,307,436.0,436.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:29:52,21/03/2017 13:33:01,J1852-2610,4.943606345420133,-0.45663291626768204,8.0,234,181.0,181.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:33:01,21/03/2017 13:36:04,J1823-3106,4.816147953567742,-0.5425562025638845,9.0,284,174.0,174.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6317097977922015
21/03/2017 13:36:04,21/03/2017 13:51:58,J1750-3157,4.6721968111492425,-0.557418893178819,6.0,910,948.0,948.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:51:58,21/03/2017 14:01:22,J1758-2846,4.704782980948603,-0.5020633518834133,2.0,562,562.0,562.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:01:22,21/03/2017 14:14:11,J1805-2447,4.736091278847295,-0.43240532218159516,3.0,481,766.0,766.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:14:11,21/03/2017 14:27:27,J1740-3015,4.627581977589243,-0.527751204777002,9.0,606,787.0,787.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:27:27,21/03/2017 14:29:37,J1555-3134,4.1682790954169535,-0.5508448196629737,20.0,518,654.0,110.0,0,60,3,0,3,0,Completed incrementally checking scint every 60 seconds.
