Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 15:03:47,1490061827000
Duration,  0 day, 2 hours, 3 minutes, 47 seconds,7427000
Slew time, 0 day, 0 hour, 5 minutes, 13 seconds,313000.0
Integration time, 0 day, 1 hour, 58 minutes, 34 seconds,7114000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.042143530362192004
Relative integration time, 0.957856469637808
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:57,J1327-6301,3.521744999628243,-1.0997737041395705,202.0,196,155.0,155.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2653105132240607
21/03/2017 13:05:57,21/03/2017 13:06:48,J1317-6302,3.4808184831100193,-1.0998861324322198,1.0,261,incomplete,50.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 45 [+]
21/03/2017 13:06:48,21/03/2017 13:11:54,J1340-6456,3.5779482376450686,-1.1330924758924554,3.0,378,303.0,303.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2465693013890768
21/03/2017 13:11:54,21/03/2017 13:17:36,J1412-6145,3.718110539329081,-1.0776011867663389,4.0,613,338.0,338.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.812710098006548
21/03/2017 13:17:36,21/03/2017 13:21:17,J1341-6220,3.5853884308022166,-1.0878215439778092,3.0,193,218.0,218.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:21:17,21/03/2017 13:23:17,J1317-6302,3.4808184831100193,-1.0998861324322198,2.0,261,168.0,118.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.0982529237266985
21/03/2017 13:23:17,21/03/2017 13:26:17,J1301-6305,3.4110831256260643,-1.1008475179618602,1.0,640,179.0,179.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 3.5794247528798038
21/03/2017 13:26:17,21/03/2017 13:29:50,J1243-6423,3.3304633131502555,-1.123585522012738,2.0,388,211.0,211.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8415330193338417
21/03/2017 13:29:50,21/03/2017 13:39:13,J1326-6700,3.5170711533355066,-1.1691233438588349,4.0,543,559.0,559.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:39:13,21/03/2017 13:45:57,J1357-6429,3.652278174384899,-1.1253000655959817,3.0,700,401.0,401.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:45:57,21/03/2017 13:55:04,J1326-5859,3.5210759567483114,-1.029312289686786,7.0,477,540.0,540.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:55:04,21/03/2017 14:03:01,J1356-5521,3.651414818181579,-0.9659769091257897,4.0,507,473.0,473.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:03:01,21/03/2017 14:21:42,J1428-5530,3.789276848633516,-0.9684143583889359,2.0,570,1119.0,1119.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:21:42,21/03/2017 14:57:08,J1515-5720,3.9931169790221768,-1.0004178791063387,4.0,3388,2122.0,2122.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:57:08,21/03/2017 15:03:47,J0738-4042,2.0007530247579957,-0.710150522840646,71.0,374,328.0,328.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1416389973555368
