Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 23:12:01,1490091121000
Duration,  0 day, 10 hours, 12 minutes, 1 second,36721000
Slew time, 0 day, 0 hour, 8 minutes, 53 seconds,533000.0
Integration time, 0 day, 5 hours, 11 minutes, 8 seconds,1.8668E7
Waiting time, 0 day, 4 hours, 52 minutes, 0 second,1.752E7
Relative slew time, 0.014514855259933008
Relative integration time, 0.5083739549576537
Relative waiting time, 0.47711118978241335
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:39,J1851+0118,4.938713096696012,0.02297532034778091,59.0,542,280.0,280.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.93734547457485
21/03/2017 13:05:39,21/03/2017 13:14:51,J1841-0425,4.891697053695527,-0.07699083662859986,8.0,186,544.0,544.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:14:51,21/03/2017 13:20:06,J1852-2610,4.943606345420133,-0.45663291626768204,25.0,234,290.0,290.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:20:06,21/03/2017 13:22:14,J1823-3106,4.816147953567742,-0.5425562025638845,10.0,284,118.0,118.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.408260455618737
21/03/2017 13:22:14,21/03/2017 13:39:54,J1750-3157,4.6721968111492425,-0.557418893178819,6.0,910,1054.0,1054.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:39:54,21/03/2017 13:47:54,J1717-3425,4.5262382710193565,-0.600104313732108,9.0,656,471.0,471.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.391342231280751
21/03/2017 13:47:54,21/03/2017 14:26:29,J1701-3726,4.456301182562691,-0.6532137132429333,5.0,2454,2310.0,2310.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 14:26:29,21/03/2017 14:28:09,J1709-4429,4.49296676860038,-0.7763406802814875,9.0,102,91.0,91.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:28:09,21/03/2017 14:36:04,J1644-4559,4.384360237958581,-0.8025145104090204,3.0,455,472.0,472.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:36:04,21/03/2017 14:59:37,J1649-4729,4.403921670048778,-0.8284835552376527,1.0,1410,1412.0,1412.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:59:37,21/03/2017 15:08:18,J1640-4715,4.3642823338538985,-0.824496932337889,4.0,517,517.0,517.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:08:18,21/03/2017 15:11:24,J1632-4621,4.332039048530504,-0.8087244888503525,2.0,1709,2044.0,184.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:11:24,21/03/2017 15:14:49,J1637-4642,4.351234543254198,-0.8149960386291855,0.0,222,515.0,205.0,0,180,3,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:14:49,21/03/2017 15:21:28,J1558-5419,4.183077887588718,-0.9478786204844982,10.0,389,389.0,389.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:21:28,21/03/2017 15:30:05,J1522-5829,4.026057886992005,-1.0207136342386272,7.0,395,510.0,510.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:30:05,21/03/2017 16:49:59,J1515-5720,3.9931169790221768,-1.0004178791063387,2.0,3388,6512.0,4792.0,0,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:49:59,21/03/2017 16:52:58,J1340-6456,3.5779482376450686,-1.1330924758924554,22.0,378,157.0,157.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.4092493649794835
21/03/2017 16:52:58,21/03/2017 17:03:42,J1301-6305,3.4110831256260643,-1.1008475179618602,4.0,640,640.0,640.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:03:42,21/03/2017 17:12:25,J1136-5525,3.0370307053233345,-0.9671630542779921,14.0,364,509.0,509.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:12:25,21/03/2017 17:24:48,J0901-4624,2.363475422055248,-0.8095976382900308,24.0,640,719.0,719.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:24:48,21/03/2017 17:47:01,J0536-7543,1.4683156836614413,-1.3212302426111842,28.0,1245,1305.0,1305.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:47:01,21/03/2017 18:05:07,J0624-0424,1.6769725591753457,-0.07654989858563074,90.0,1039,996.0,996.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 21:57:07,22/03/2017 01:51:24,J1358-2533,3.6595191091191106,-0.4459316238845512,46.0,47,91.0,91.0,13920,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:59:24,22/03/2017 00:12:01,J1622-4347,4.286969338534202,-0.7640595740370931,145.0,612,912.0,612.0,3600,5400,2,0,2,0,Completed: Nominal time; scintillation good.
