Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 15:00:06,1490061606000
Duration,  0 day, 2 hours, 0 minute, 6 seconds,7206000
Slew time, 0 day, 0 hour, 4 minutes, 43 seconds,283000.0
Integration time, 0 day, 1 hour, 55 minutes, 23 seconds,6923000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.039272828198723284
Relative integration time, 0.9607271718012768
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:10:53,J1847-0402,4.919125986449196,-0.07032615143575517,65.0,597,588.0,588.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:10:53,21/03/2017 13:14:25,J1824-1945,4.8171418603991105,-0.34445187859574644,23.0,189,189.0,189.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:14:25,21/03/2017 13:16:24,J1823-3106,4.816147953567742,-0.5425562025638845,14.0,284,105.0,105.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.700685541527961
21/03/2017 13:16:24,21/03/2017 13:32:12,J1750-3157,4.6721968111492425,-0.557418893178819,6.0,910,942.0,942.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:32:12,21/03/2017 13:35:07,J1722-3712,4.550885665271917,-0.6492445436356896,9.0,236,166.0,166.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:35:07,21/03/2017 13:36:56,J1709-4429,4.49296676860038,-0.7763406802814875,9.0,102,incomplete,100.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2465 (737)
21/03/2017 13:36:56,21/03/2017 13:40:42,J1637-4642,4.351234543254198,-0.8149960386291855,4.0,222,222.0,222.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:40:42,21/03/2017 13:55:34,J1632-4818,4.331306519299032,-0.8427390167169976,2.0,890,890.0,890.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:55:34,21/03/2017 14:03:01,J1622-4347,4.286969338534202,-0.7640595740370931,5.0,612,442.0,442.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3858805882938978
21/03/2017 14:03:01,21/03/2017 14:14:47,J1555-3134,4.1682790954169535,-0.5508448196629737,12.0,518,694.0,694.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:14:47,21/03/2017 14:20:22,J1412-6145,3.718110539329081,-1.0776011867663389,35.0,613,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:20:22,21/03/2017 14:31:10,J1326-6700,3.5170711533355066,-1.1691233438588349,7.0,543,641.0,641.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:31:10,21/03/2017 14:50:55,J1049-5833,2.8354575394668577,-1.0216740501409052,16.0,2202,1169.0,1169.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8840630015746251
21/03/2017 14:50:55,21/03/2017 15:00:06,J0452-1759,1.2765705904504334,-0.3137550713449015,76.0,548,475.0,475.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
