Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 14:53:56,1490061236000
Duration,  0 day, 1 hour, 53 minutes, 56 seconds,6836000
Slew time, 0 day, 0 hour, 4 minutes, 50 seconds,290000.0
Integration time, 0 day, 1 hour, 49 minutes, 6 seconds,6546000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.042422469280280865
Relative integration time, 0.9575775307197192
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:18:52,J1848-0123,4.923544127462105,-0.023861414312744807,62.0,659,1070.0,1070.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:18:52,21/03/2017 13:21:38,J1824-1945,4.8171418603991105,-0.34445187859574644,27.0,189,139.0,139.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.3571575306848573
21/03/2017 13:21:38,21/03/2017 13:25:13,J1739-2903,4.623251961159148,-0.5070011792255139,15.0,322,200.0,200.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6121082311638766
21/03/2017 13:25:13,21/03/2017 13:30:20,J1703-3241,4.465318717031329,-0.5701990666265474,7.0,1211,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:30:20,21/03/2017 13:33:59,J1719-4006,4.533617959429102,-0.699588565909466,7.0,189,212.0,212.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:33:59,21/03/2017 13:46:05,J1648-4458,4.399175101703874,-0.7846903354230284,7.0,719,719.0,719.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:46:05,21/03/2017 14:29:03,J1632-4621,4.332039048530504,-0.8087244888503525,3.0,1709,2575.0,2575.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:29:03,21/03/2017 14:34:24,J1651-5222,4.41444455099726,-0.9136885900652916,7.0,635,314.0,314.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0222917624002954
21/03/2017 14:34:24,21/03/2017 14:35:03,J1703-4851,4.467635641613352,-0.8523228135651708,3.0,1396,1226.0,36.0,0,5400,3,0,1,0,Completed: Shortened interval; scintillation of 1.6229462445110086
21/03/2017 14:35:03,21/03/2017 14:36:10,J1703-3241,4.465318717031329,-0.5701990666265474,14.0,1211,1483.0,53.0,0,1800,3,0,1,0,Completed: Shortened interval; scintillation of 1.5172216741643754
21/03/2017 14:36:10,21/03/2017 14:41:57,J1340-6456,3.5779482376450686,-1.1330924758924554,45.0,378,302.0,302.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2515664989839088
21/03/2017 14:41:57,21/03/2017 14:43:52,J1048-5832,2.8283205972672447,-1.02157126964051,19.0,123,96.0,96.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:43:52,21/03/2017 14:53:56,J0452-1759,1.2765705904504334,-0.3137550713449015,74.0,548,530.0,530.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
