Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 17:36:54,1490071014000
Duration,  0 day, 4 hours, 36 minutes, 54 seconds,16614000
Slew time, 0 day, 0 hour, 10 minutes, 46 seconds,646000.0
Integration time, 0 day, 4 hours, 10 minutes, 8 seconds,1.5008E7
Waiting time, 0 day, 0 hour, 16 minutes, 0 second,960000.0
Relative slew time, 0.038882869868785364
Relative integration time, 0.903334537137354
Relative waiting time, 0.0577825929938606
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:10,J1841-0425,4.891697053695527,-0.07699083662859986,67.0,186,123.0,123.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:03:10,21/03/2017 13:08:57,J1845-0434,4.911262630942696,-0.07955889469743707,0.0,486,347.0,347.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3997796266782834
21/03/2017 13:08:57,21/03/2017 13:24:23,J1805-2447,4.736091278847295,-0.43240532218159516,29.0,481,897.0,897.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:24:23,21/03/2017 13:25:24,J1829-1751,4.842062362318582,-0.3115223637474246,9.0,307,642.0,52.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:25:24,21/03/2017 13:33:57,J1622-4347,4.286969338534202,-0.7640595740370931,40.0,612,473.0,473.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2928052759615447
21/03/2017 13:33:57,21/03/2017 13:45:06,J1717-3425,4.5262382710193565,-0.600104313732108,13.0,656,656.0,656.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:45:06,21/03/2017 13:56:53,J1016-5857,2.6893458466951095,-1.028812931595243,67.0,640,640.0,640.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:56:53,21/03/2017 13:59:59,J1048-5832,2.8283205972672447,-1.02157126964051,2.0,123,184.0,184.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:59:59,21/03/2017 14:04:40,J1412-6145,3.718110539329081,-1.0776011867663389,21.0,613,260.0,260.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.3576025855080758
21/03/2017 14:04:40,21/03/2017 14:11:38,J1428-5530,3.789276848633516,-0.9684143583889359,5.0,570,413.0,413.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:11:38,21/03/2017 14:58:04,J1515-5720,3.9931169790221768,-1.0004178791063387,5.0,3388,2781.0,2781.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:58:04,21/03/2017 15:02:57,J1522-5829,4.026057886992005,-1.0207136342386272,4.0,395,289.0,289.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:02:57,21/03/2017 15:18:52,J1636-4440,4.347071932988192,-0.7794591958038565,17.0,938,938.0,938.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:18:52,21/03/2017 15:21:51,J1646-4346,4.393233710041876,-0.7636882067573633,1.0,231,478.0,178.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.3007056471020748
21/03/2017 15:21:51,21/03/2017 16:08:05,J1843-0702,4.901643830546746,-0.1224901157870487,45.0,4689,2729.0,2729.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 16:08:05,21/03/2017 16:13:56,J1648-4458,4.399175101703874,-0.7846903354230284,51.0,719,incomplete,300.0,0,600,3,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 16:13:56,21/03/2017 16:22:41,J1136-5525,3.0370307053233345,-0.9671630542779921,48.0,364,477.0,477.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:22:41,21/03/2017 16:27:13,J0820-4114,2.1827851206988833,-0.7194809560590714,34.0,545,478.0,238.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:27:13,21/03/2017 16:32:29,J1648-4458,4.399175101703874,-0.7846903354230284,81.0,719,1215.0,235.0,0,600,4,0,1,0,Completed: Shortened interval; scintillation of 1.3738430554186765
21/03/2017 16:48:29,21/03/2017 17:27:48,J1703-4851,4.467635641613352,-0.8523228135651708,3.0,1396,1696.0,1396.0,960,5400,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:11:48,21/03/2017 17:36:54,J0820-1350,2.1835800963565513,-0.24116640111841794,104.0,1238,1402.0,1402.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
