Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 16:55:01,1490068501000
Duration,  0 day, 3 hours, 55 minutes, 1 second,14101000
Slew time, 0 day, 0 hour, 3 minutes, 14 seconds,194000.0
Integration time, 0 day, 2 hours, 4 minutes, 47 seconds,7487000.0
Waiting time, 0 day, 1 hour, 47 minutes, 0 second,6420000.0
Relative slew time, 0.013757889511382172
Relative integration time, 0.5309552514006098
Relative waiting time, 0.4552868590880079
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:29,J1757-2421,4.701432399661496,-0.4252426848568829,95.0,234,234.0,234.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:05:29,21/03/2017 13:09:32,J1829-1751,4.842062362318582,-0.3115223637474246,11.0,307,232.0,232.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:09:32,21/03/2017 13:18:24,J1758-2846,4.704782980948603,-0.5020633518834133,17.0,562,515.0,515.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0914201507765051
21/03/2017 13:18:24,21/03/2017 13:34:01,J1746-3239,4.655298315165276,-0.5695794747420894,6.0,450,931.0,931.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:34:01,21/03/2017 13:35:55,J1709-4429,4.49296676860038,-0.7763406802814875,17.0,102,97.0,97.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:35:55,21/03/2017 13:38:41,J1701-4533,4.457073054424386,-0.7947613700207168,1.0,322,165.0,165.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.9459455327625446
21/03/2017 13:38:41,21/03/2017 13:43:43,J1648-4458,4.399175101703874,-0.7846903354230284,2.0,719,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:43:43,21/03/2017 14:03:05,J1643-4505,4.379101633644374,-0.7866295901474666,1.0,1728,1161.0,1161.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:03:05,21/03/2017 14:15:06,J1648-4458,4.399175101703874,-0.7846903354230284,2.0,719,1019.0,719.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:15:06,21/03/2017 14:18:59,J1646-4346,4.393233710041876,-0.7636882067573633,2.0,231,231.0,231.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:18:59,21/03/2017 14:37:50,J1638-4417,4.357957769699036,-0.7728725171323023,1.0,3073,incomplete,1130.0,0,1800,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0211 (PRN E02)
21/03/2017 14:37:50,21/03/2017 14:43:31,J1651-4246,4.414867793340869,-0.7463658139313195,1.0,844,incomplete,340.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite GSAT0211 (PRN E02)
21/03/2017 14:43:31,21/03/2017 14:53:47,J1622-4347,4.286969338534202,-0.7640595740370931,4.0,612,612.0,612.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:53:47,21/03/2017 14:54:08,J1705-3423,4.475486932531396,-0.5998833841376264,11.0,255,incomplete,10.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2460 (732)
21/03/2017 14:54:08,21/03/2017 15:00:42,J1720-2933,4.540337113439018,-0.5156662541479846,5.0,620,389.0,389.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:00:42,21/03/2017 15:01:59,J1709-1640,4.491782366353361,-0.29060832572761713,10.0,653,incomplete,67.0,0,5400,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 15:01:59,21/03/2017 15:08:01,J1652-2404,4.419938702038434,-0.4195044301272704,8.0,1703,incomplete,354.0,6420,180,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
