Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 14:40:08,1490060408000
Duration,  0 day, 1 hour, 40 minutes, 8 seconds,6008000
Slew time, 0 day, 0 hour, 7 minutes, 8 seconds,428000.0
Integration time, 0 day, 1 hour, 33 minutes, 0 second,5580000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.07123834886817576
Relative integration time, 0.9287616511318242
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:32,J1841-0425,4.891697053695527,-0.07699083662859986,67.0,186,205.0,205.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:04:32,21/03/2017 13:09:20,J1646-4346,4.393233710041876,-0.7636882067573633,57.0,231,231.0,231.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:09:20,21/03/2017 13:10:51,J1136-5525,3.0370307053233345,-0.9671630542779921,41.0,364,incomplete,50.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 29 [-]
21/03/2017 13:10:51,21/03/2017 13:15:24,J1317-6302,3.4808184831100193,-1.0998861324322198,12.0,261,261.0,261.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:15:24,21/03/2017 13:21:10,J1136-5525,3.0370307053233345,-0.9671630542779921,13.0,364,383.0,333.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:21:10,21/03/2017 13:24:50,J1146-6030,3.0810689984537603,-1.0556362181299903,4.0,273,216.0,216.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:24:50,21/03/2017 13:31:32,J1157-6224,3.129610968274852,-1.0888388285248813,2.0,400,400.0,400.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:31:32,21/03/2017 13:49:08,J1049-5833,2.8354575394668577,-1.0216740501409052,7.0,2202,1049.0,1049.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0987673933726683
21/03/2017 13:49:08,21/03/2017 13:51:21,J1048-5832,2.8283205972672447,-1.02157126964051,2.0,123,131.0,131.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:51:21,21/03/2017 14:12:45,J1016-5819,2.6886869849024815,-1.0178122667640273,4.0,1410,incomplete,1280.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 37 [+]
21/03/2017 14:12:45,21/03/2017 14:12:57,J1016-5857,2.6893458466951095,-1.028812931595243,2.0,640,incomplete,10.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 37 [+]
21/03/2017 14:12:57,21/03/2017 14:14:00,J1016-5819,2.6886869849024815,-1.0178122667640273,0.0,1410,1343.0,63.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:14:00,21/03/2017 14:22:03,J1016-5857,2.6893458466951095,-1.028812931595243,0.0,640,493.0,483.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.2911566517175743
21/03/2017 14:22:03,21/03/2017 14:26:40,J0536-7543,1.4683156836614413,-1.3212302426111842,27.0,1245,incomplete,250.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 61 [+]
21/03/2017 14:26:40,21/03/2017 14:37:59,J0452-1759,1.2765705904504334,-0.3137550713449015,61.0,548,618.0,618.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:37:59,21/03/2017 14:40:08,J1555-3134,4.1682790954169535,-0.5508448196629737,129.0,518,incomplete,0.0,0,60,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
