Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 15:58:00,1490065080000
Duration,  0 day, 2 hours, 58 minutes, 0 second,10680000
Slew time, 0 day, 0 hour, 7 minutes, 19 seconds,439000.0
Integration time, 0 day, 2 hours, 50 minutes, 41 seconds,1.0241E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.04110486891385768
Relative integration time, 0.9588951310861423
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:01,J1852-2610,4.943606345420133,-0.45663291626768204,91.0,234,incomplete,90.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite BEIDOU IGSO 5
21/03/2017 13:03:01,21/03/2017 13:07:21,B1855+02,4.964272134594528,0.03859655044817938,33.0,182,227.0,227.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:07:21,21/03/2017 13:21:13,J1326-6700,3.5170711533355066,-1.1691233438588349,102.0,543,730.0,730.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:21:13,21/03/2017 13:25:11,J1243-6423,3.3304633131502555,-1.123585522012738,5.0,388,233.0,233.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.663961686164023
21/03/2017 13:25:11,21/03/2017 13:39:18,J1357-6429,3.652278174384899,-1.1253000655959817,5.0,700,842.0,842.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:39:18,21/03/2017 13:46:01,J1612-5805,4.2431729189492815,-1.0136038416051558,13.0,517,390.0,390.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.326016642158967
21/03/2017 13:46:01,21/03/2017 13:52:34,J1558-5419,4.183077887588718,-0.9478786204844982,4.0,389,389.0,389.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:52:34,21/03/2017 14:04:01,J1602-5100,4.198884025627092,-0.8901082222434858,2.0,864,685.0,685.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:04:01,21/03/2017 14:18:55,J1632-4818,4.331306519299032,-0.8427390167169976,4.0,890,890.0,890.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:18:55,21/03/2017 14:40:59,J1638-4725,4.355537507080886,-0.8274218132760228,1.0,1323,1323.0,1323.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:40:59,21/03/2017 14:41:12,J1646-4346,4.393233710041876,-0.7636882067573633,3.0,231,incomplete,10.0,0,600,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite GSAT0211 (PRN E02)
21/03/2017 14:41:12,21/03/2017 14:56:51,J1636-4440,4.347071932988192,-0.7794591958038565,1.0,938,938.0,938.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:56:51,21/03/2017 15:07:07,J1622-4347,4.286969338534202,-0.7640595740370931,4.0,612,612.0,612.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:07:07,21/03/2017 15:07:25,J1652-2404,4.419938702038434,-0.4195044301272704,18.0,1703,incomplete,0.0,0,180,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:07:25,21/03/2017 15:55:13,J1843-0702,4.901643830546746,-0.1224901157870487,28.0,4689,2840.0,2840.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 15:55:13,21/03/2017 15:58:00,J0901-4624,2.363475422055248,-0.8095976382900308,125.0,640,682.0,42.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
