Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 14:42:36,1490060556000
Duration,  0 day, 1 hour, 42 minutes, 36 seconds,6156000
Slew time, 0 day, 0 hour, 6 minutes, 7 seconds,367000.0
Integration time, 0 day, 1 hour, 36 minutes, 29 seconds,5789000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.059616634178037684
Relative integration time, 0.9403833658219624
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:11,J1851+0118,4.938713096696012,0.02297532034778091,59.0,542,372.0,372.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4582262160861907
21/03/2017 13:07:11,21/03/2017 13:12:07,J1646-4346,4.393233710041876,-0.7636882067573633,65.0,231,231.0,231.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:12:07,21/03/2017 13:15:21,J1824-1945,4.8171418603991105,-0.34445187859574644,36.0,189,158.0,158.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.1992990250682318
21/03/2017 13:15:21,21/03/2017 13:26:02,J1805-2447,4.736091278847295,-0.43240532218159516,8.0,481,633.0,633.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:26:02,21/03/2017 13:30:00,J1757-2421,4.701432399661496,-0.4252426848568829,4.0,234,234.0,234.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:30:00,21/03/2017 13:45:14,J1750-3157,4.6721968111492425,-0.557418893178819,9.0,910,905.0,905.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:45:14,21/03/2017 13:54:33,J1746-3239,4.655298315165276,-0.5695794747420894,3.0,450,556.0,556.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:54:33,21/03/2017 14:05:35,J1717-3425,4.5262382710193565,-0.600104313732108,6.0,656,656.0,656.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:05:35,21/03/2017 14:08:49,J1722-3712,4.550885665271917,-0.6492445436356896,3.0,236,191.0,191.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:08:49,21/03/2017 14:15:32,J1649-3805,4.406099840955266,-0.6643930319156381,6.0,262,397.0,397.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:15:32,21/03/2017 14:29:40,J1825-0935,4.823699462370141,-0.1671526065319025,36.0,769,812.0,812.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:29:40,21/03/2017 14:35:05,J1602-5100,4.198884025627092,-0.8901082222434858,55.0,864,incomplete,270.0,0,180,4,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2434 (721)
21/03/2017 14:35:05,21/03/2017 14:42:36,J0738-4042,2.0007530247579957,-0.710150522840646,77.0,374,374.0,374.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
