Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 03:34:46,1490106886000
Duration,  0 day, 14 hours, 34 minutes, 46 seconds,52486000
Slew time, 0 day, 0 hour, 10 minutes, 16 seconds,616000.0
Integration time, 0 day, 5 hours, 1 minute, 30 seconds,1.809E7
Waiting time, 0 day, 9 hours, 23 minutes, 0 second,3.378E7
Relative slew time, 0.01173646305681515
Relative integration time, 0.34466333879510724
Relative waiting time, 0.6436001981480776
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:08,J1739-2903,4.623251961159148,-0.5070011792255139,103.0,322,205.0,205.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5735214380187015
21/03/2017 13:05:08,21/03/2017 13:05:31,J1852-2610,4.943606345420133,-0.45663291626768204,13.0,234,incomplete,10.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite BEIDOU IGSO 5
21/03/2017 13:05:31,21/03/2017 13:11:24,J1829-1751,4.842062362318582,-0.3115223637474246,8.0,307,345.0,345.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:11:24,21/03/2017 13:13:13,J1824-1945,4.8171418603991105,-0.34445187859574644,3.0,189,106.0,106.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.7905683553974288
21/03/2017 13:13:13,21/03/2017 13:18:40,J1845-0434,4.911262630942696,-0.07955889469743707,19.0,486,308.0,308.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.57964737328431
21/03/2017 13:18:40,21/03/2017 13:23:31,J1841-0425,4.891697053695527,-0.07699083662859986,2.0,186,289.0,289.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:23:31,21/03/2017 13:26:56,J1841-0345,4.8940981176919065,-0.06611598094763187,1.0,204,204.0,204.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:26:56,21/03/2017 13:35:08,J1847-0402,4.919125986449196,-0.07032615143575517,0.0,597,492.0,492.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:35:08,21/03/2017 13:40:34,J1746-3239,4.655298315165276,-0.5695794747420894,39.0,450,287.0,287.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:40:34,21/03/2017 13:45:23,J1823-3106,4.816147953567742,-0.5425562025638845,5.0,284,284.0,284.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
