Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 06:12:02,1490116322000
Duration,  0 day, 17 hours, 12 minutes, 2 seconds,61922000
Slew time, 0 day, 0 hour, 29 minutes, 18 seconds,1758000.0
Integration time, 0 day, 14 hours, 23 minutes, 44 seconds,5.1824E7
Waiting time, 0 day, 2 hours, 19 minutes, 0 second,8340000.0
Relative slew time, 0.02839055586059882
Relative integration time, 0.8369238719679597
Relative waiting time, 0.1346855721714415
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:01,J1852-2610,4.943606345420133,-0.45663291626768204,91.0,234,incomplete,90.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite BEIDOU IGSO 5
21/03/2017 13:03:01,21/03/2017 13:10:44,J1136-5525,3.0370307053233345,-0.9671630542779921,73.0,364,incomplete,390.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 29 [-]
21/03/2017 13:10:44,21/03/2017 13:14:58,J1146-6030,3.0810689984537603,-1.0556362181299903,4.0,273,250.0,250.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:14:58,21/03/2017 13:17:04,J1048-5832,2.8283205972672447,-1.02157126964051,7.0,123,119.0,119.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:17:04,21/03/2017 13:19:55,J1157-6224,3.129610968274852,-1.0888388285248813,6.0,400,165.0,165.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.430579178731799
21/03/2017 13:19:55,21/03/2017 13:21:35,J1317-6302,3.4808184831100193,-1.0998861324322198,7.0,261,93.0,93.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.813764473206298
21/03/2017 13:21:35,21/03/2017 13:26:24,J1522-5829,4.026057886992005,-1.0207136342386272,13.0,395,276.0,276.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:26:24,21/03/2017 13:30:34,J1633-5015,4.3327873584472965,-0.8769886792189808,12.0,352,238.0,238.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.481129114246215
21/03/2017 13:30:34,21/03/2017 13:34:56,J1559-4438,4.187446746757646,-0.778776084707186,8.0,257,254.0,254.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0137461319047796
21/03/2017 13:34:56,21/03/2017 13:49:07,J1428-5530,3.789276848633516,-0.9684143583889359,18.0,570,833.0,833.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:49:07,21/03/2017 13:59:27,J1412-6145,3.718110539329081,-1.0776011867663389,7.0,613,613.0,613.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:59:27,21/03/2017 14:02:06,J1513-5908,3.987758818218554,-1.0320277311146804,6.0,153,153.0,153.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:02:06,21/03/2017 14:12:28,J0452-1759,1.2765705904504334,-0.3137550713449015,104.0,548,518.0,518.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:12:28,21/03/2017 14:18:38,J1016-5857,2.6893458466951095,-1.028812931595243,68.0,640,302.0,302.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.1210172793568156
21/03/2017 14:18:38,21/03/2017 14:23:53,J1649-3805,4.406099840955266,-0.6643930319156381,60.0,262,255.0,255.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:23:53,21/03/2017 14:34:24,J1740-3015,4.627581977589243,-0.527751204777002,11.0,606,620.0,620.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:34:24,21/03/2017 14:37:46,J1824-1945,4.8171418603991105,-0.34445187859574644,13.0,189,189.0,189.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:37:46,21/03/2017 14:43:02,J1841-0345,4.8940981176919065,-0.06611598094763187,16.0,204,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:43:02,21/03/2017 14:46:12,J1829-1751,4.842062362318582,-0.3115223637474246,15.0,307,175.0,175.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:46:12,21/03/2017 14:51:25,J1845-0434,4.911262630942696,-0.07955889469743707,13.0,486,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:51:25,21/03/2017 14:54:08,J1841-0345,4.8940981176919065,-0.06611598094763187,2.0,204,461.0,161.0,0,180,2,0,1,0,Completed: Shortened interval; scintillation of 1.2655415562303314
21/03/2017 14:54:08,21/03/2017 15:08:31,J1805-2447,4.736091278847295,-0.43240532218159516,23.0,481,840.0,840.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:08:31,21/03/2017 15:18:00,J1851+0118,4.938713096696012,0.02297532034778091,27.0,542,542.0,542.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:18:00,21/03/2017 16:09:26,J1843-0702,4.901643830546746,-0.1224901157870487,9.0,4689,incomplete,3077.0,0,1800,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:09:26,21/03/2017 16:15:46,J0729-1448,1.9603283631217727,-0.2581303178605125,162.0,276,218.0,218.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:15:46,21/03/2017 16:18:15,J0820-3826,2.1860199430233505,-0.6705803210766942,25.0,124,124.0,124.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:18:15,21/03/2017 16:33:05,J0901-4624,2.363475422055248,-0.8095976382900308,10.0,640,880.0,880.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
