Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 05:21:35,1490113295000
Duration,  0 day, 16 hours, 21 minutes, 35 seconds,58895000
Slew time, 0 day, 0 hour, 24 minutes, 45 seconds,1485000.0
Integration time, 0 day, 10 hours, 16 minutes, 50 seconds,3.701E7
Waiting time, 0 day, 5 hours, 40 minutes, 0 second,2.04E7
Relative slew time, 0.025214364547075305
Relative integration time, 0.628406486119365
Relative waiting time, 0.34637914933355973
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:56,J1048-5832,2.8283205972672447,-1.02157126964051,187.0,123,109.0,109.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:04:56,21/03/2017 13:20:24,J1522-5829,4.026057886992005,-1.0207136342386272,26.0,395,902.0,902.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:20:24,21/03/2017 13:21:56,J1709-4429,4.49296676860038,-0.7763406802814875,20.0,102,72.0,72.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:21:56,21/03/2017 13:26:24,J1559-4438,4.187446746757646,-0.778776084707186,11.0,257,257.0,257.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:26:24,21/03/2017 13:28:47,J1722-3712,4.550885665271917,-0.6492445436356896,13.0,236,130.0,130.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:28:47,21/03/2017 13:50:01,J1326-5859,3.5210759567483114,-1.029312289686786,40.0,477,1234.0,1234.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:50:01,21/03/2017 13:54:20,J1644-4559,4.384360237958581,-0.8025145104090204,26.0,455,233.0,233.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:54:20,21/03/2017 13:58:44,J1852-2610,4.943606345420133,-0.45663291626768204,32.0,234,232.0,232.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:58:44,21/03/2017 14:02:09,J1513-5908,3.987758818218554,-1.0320277311146804,52.0,153,153.0,153.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:02:09,21/03/2017 14:06:31,J1340-6456,3.5779482376450686,-1.1330924758924554,12.0,378,250.0,250.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5109503983395385
21/03/2017 14:06:31,21/03/2017 14:09:41,J1633-5015,4.3327873584472965,-0.8769886792189808,26.0,352,164.0,164.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.141707133457012
21/03/2017 14:09:41,21/03/2017 14:18:23,J1356-5521,3.651414818181579,-0.9659769091257897,19.0,507,503.0,503.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:18:23,21/03/2017 14:34:40,J0452-1759,1.2765705904504334,-0.3137550713449015,100.0,548,877.0,877.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:34:40,21/03/2017 14:36:52,J1636-4440,4.347071932988192,-0.7794591958038565,122.0,938,incomplete,10.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite GSAT0211 (PRN E02)
21/03/2017 14:36:52,21/03/2017 14:39:12,J1646-4346,4.393233710041876,-0.7636882067573633,1.0,231,139.0,139.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6590023392911573
21/03/2017 14:39:12,21/03/2017 14:50:19,J1717-3425,4.5262382710193565,-0.600104313732108,11.0,656,656.0,656.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:50:19,21/03/2017 15:02:08,J1016-5857,2.6893458466951095,-1.028812931595243,69.0,640,640.0,640.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:02:08,21/03/2017 15:09:14,J1326-6700,3.5170711533355066,-1.1691233438588349,19.0,543,407.0,407.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:09:14,21/03/2017 15:32:22,J1602-5100,4.198884025627092,-0.8901082222434858,24.0,864,1364.0,1364.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:32:22,21/03/2017 15:36:10,J1824-1945,4.8171418603991105,-0.34445187859574644,39.0,189,189.0,189.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:36:10,21/03/2017 15:41:21,J1758-2846,4.704782980948603,-0.5020633518834133,11.0,562,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:41:21,21/03/2017 15:52:22,J1825-0935,4.823699462370141,-0.1671526065319025,19.0,769,642.0,642.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:52:22,21/03/2017 16:06:44,J1750-3157,4.6721968111492425,-0.557418893178819,24.0,910,838.0,838.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:06:44,21/03/2017 16:14:55,J0820-4114,2.1827851206988833,-0.7194809560590714,101.0,545,690.0,390.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.3989283567447566
21/03/2017 16:14:55,21/03/2017 16:15:42,J1136-5525,3.0370307053233345,-0.9671630542779921,32.0,364,465.0,15.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:15:42,21/03/2017 16:21:27,J1640-4715,4.3642823338538985,-0.824496932337889,45.0,517,incomplete,300.0,0,5400,2,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 16:21:27,21/03/2017 16:23:01,J1707-4053,4.482712959244913,-0.7132767953819126,7.0,581,487.0,87.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:23:01,21/03/2017 16:26:49,J1651-4246,4.414867793340869,-0.7463658139313195,3.0,844,incomplete,225.0,0,5400,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 16:26:49,21/03/2017 16:36:39,J1648-4458,4.399175101703874,-0.7846903354230284,2.0,719,588.0,588.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2217878537987599
