Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 16:01:35,1490065295000
Duration,  0 day, 3 hours, 1 minute, 35 seconds,10895000
Slew time, 0 day, 0 hour, 9 minutes, 48 seconds,588000.0
Integration time, 0 day, 2 hours, 51 minutes, 47 seconds,1.0307E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.05396971087654887
Relative integration time, 0.9460302891234511
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:49,J1136-5525,3.0370307053233345,-0.9671630542779921,194.0,364,275.0,275.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:07:49,21/03/2017 13:11:18,J1327-6301,3.521744999628243,-1.0997737041395705,13.0,196,196.0,196.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:11:18,21/03/2017 13:18:49,J1738-3211,4.62033631592164,-0.5614452708004336,49.0,768,402.0,402.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.9092080816545602
21/03/2017 13:18:49,21/03/2017 13:26:39,J1746-3239,4.655298315165276,-0.5695794747420894,0.0,450,470.0,470.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:26:39,21/03/2017 13:29:50,J1340-6456,3.5779482376450686,-1.1330924758924554,51.0,378,140.0,140.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.709397186852445
21/03/2017 13:29:50,21/03/2017 13:34:14,J1705-3423,4.475486932531396,-0.5998833841376264,44.0,255,220.0,220.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:34:14,21/03/2017 14:11:53,J1843-0702,4.901643830546746,-0.1224901157870487,39.0,4689,incomplete,2220.0,0,1800,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-9  (PRN 21)
21/03/2017 14:11:53,21/03/2017 14:16:42,J1530-5327,4.059844552428529,-0.9326055350885045,69.0,389,220.0,220.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.7665349632352563
21/03/2017 14:16:42,21/03/2017 14:23:34,J1739-3131,4.62252663141084,-0.5499954260936698,31.0,529,381.0,381.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3879347970147415
21/03/2017 14:23:34,21/03/2017 14:35:51,J1648-4458,4.399175101703874,-0.7846903354230284,18.0,719,719.0,719.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:35:51,21/03/2017 14:41:13,J1701-4533,4.457073054424386,-0.7947613700207168,0.0,322,322.0,322.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:41:13,21/03/2017 14:46:46,J1640-4715,4.3642823338538985,-0.824496932337889,3.0,517,incomplete,330.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite COSMOS 2434 (721)
21/03/2017 14:46:46,21/03/2017 14:46:56,J1638-4725,4.355537507080886,-0.8274218132760228,0.0,1323,incomplete,10.0,0,1800,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite COSMOS 2434 (721)
21/03/2017 14:46:56,21/03/2017 14:47:06,J1640-4715,4.3642823338538985,-0.824496932337889,0.0,517,incomplete,10.0,0,5400,2,0,1,2,Aborted: High scintillation; interrupted by satellite COSMOS 2434 (721)
21/03/2017 14:47:06,21/03/2017 14:47:16,J1638-4725,4.355537507080886,-0.8274218132760228,0.0,1323,incomplete,10.0,0,1800,2,0,1,2,Aborted: High scintillation; interrupted by satellite COSMOS 2434 (721)
21/03/2017 14:47:16,21/03/2017 15:12:24,J1632-4621,4.332039048530504,-0.8087244888503525,1.0,1709,2187.0,1507.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:12:24,21/03/2017 15:32:47,J1643-4505,4.379101633644374,-0.7866295901474666,2.0,1728,2661.0,1221.0,0,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 15:32:47,21/03/2017 15:36:43,J1534-5334,4.075952486983392,-0.934821133611175,16.0,1368,incomplete,220.0,0,600,3,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 8 [+]
21/03/2017 15:36:43,21/03/2017 16:00:58,J1701-3726,4.456301182562691,-0.6532137132429333,21.0,2454,2258.0,1434.0,0,1800,2,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 16:00:58,21/03/2017 16:01:35,J1841-0425,4.891697053695527,-0.07699083662859986,37.0,186,incomplete,0.0,0,60,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
