Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 15:00:43,1490061643000
Duration,  0 day, 2 hours, 0 minute, 43 seconds,7243000
Slew time, 0 day, 0 hour, 4 minutes, 42 seconds,282000.0
Integration time, 0 day, 1 hour, 56 minutes, 1 second,6961000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.03893414331078283
Relative integration time, 0.9610658566892172
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:07,J1317-6302,3.4808184831100193,-1.0998861324322198,201.0,261,226.0,226.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.154844058120925
21/03/2017 13:07:07,21/03/2017 13:13:40,J1326-5859,3.5210759567483114,-1.029312289686786,3.0,477,incomplete,390.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 29 [-]
21/03/2017 13:13:40,21/03/2017 13:18:36,J1341-6220,3.5853884308022166,-1.0878215439778092,3.0,193,293.0,293.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:18:36,21/03/2017 13:20:03,J1327-6301,3.521744999628243,-1.0997737041395705,2.0,196,85.0,85.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.3066245381786112
21/03/2017 13:20:03,21/03/2017 13:30:45,J1301-6305,3.4110831256260643,-1.1008475179618602,2.0,640,640.0,640.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:30:45,21/03/2017 13:34:27,J1326-5859,3.5210759567483114,-1.029312289686786,3.0,477,609.0,219.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:34:27,21/03/2017 13:46:20,J1326-6700,3.5170711533355066,-1.1691233438588349,5.0,543,708.0,708.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:46:20,21/03/2017 13:49:11,J1340-6456,3.5779482376450686,-1.1330924758924554,1.0,378,170.0,170.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.227806221221726
21/03/2017 13:49:11,21/03/2017 14:01:12,J1357-6429,3.652278174384899,-1.1253000655959817,1.0,700,720.0,720.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:01:12,21/03/2017 14:21:51,J1049-5833,2.8354575394668577,-1.0216740501409052,19.0,2202,incomplete,1220.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 61 [+]
21/03/2017 14:21:51,21/03/2017 14:32:37,J1016-5857,2.6893458466951095,-1.028812931595243,6.0,640,640.0,640.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:32:37,21/03/2017 14:52:49,J1016-5819,2.6886869849024815,-1.0178122667640273,1.0,1410,1211.0,1211.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:52:49,21/03/2017 14:53:55,J1049-5833,2.8354575394668577,-1.0216740501409052,1.0,2202,1285.0,65.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.0001595832781156
21/03/2017 14:53:55,21/03/2017 15:00:43,J0738-4042,2.0007530247579957,-0.710150522840646,34.0,374,374.0,374.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
