Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 15:25:45,1490063145000
Duration,  0 day, 2 hours, 25 minutes, 45 seconds,8745000
Slew time, 0 day, 0 hour, 10 minutes, 11 seconds,611000.0
Integration time, 0 day, 2 hours, 15 minutes, 34 seconds,8134000.0
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.06986849628359063
Relative integration time, 0.9301315037164094
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:06:29,J1930+17,5.108287832378736,0.30397817805567906,60.0,366,329.0,329.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:06:29,21/03/2017 13:19:38,J1550-5242,4.1453715035404235,-0.919754578843334,99.0,647,690.0,690.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:19:38,21/03/2017 13:27:15,J1839-1238,4.885737117910226,-0.2202959430004054,58.0,399,399.0,399.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:27:15,21/03/2017 13:31:07,J1617-5055,4.265097454124627,-0.888599482067873,56.0,352,176.0,176.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9983761390155843
21/03/2017 13:31:07,21/03/2017 13:47:49,J0034-0721,0.1489980528388499,-0.12802276588263942,166.0,575,836.0,836.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:47:49,21/03/2017 13:54:08,J2024+48,5.340707511102648,0.8377580409572782,79.0,620,300.0,300.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.067362012685154
21/03/2017 13:54:08,21/03/2017 14:16:00,J1916+0844,5.045389147741,0.15245935829851576,37.0,1150,1275.0,1275.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:16:00,21/03/2017 15:10:32,B1944+22,5.176711284041609,0.3970594959466233,12.0,2597,3260.0,3260.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:10:32,21/03/2017 15:21:25,J1849-0614,4.929475723463675,-0.10863947373143037,41.0,612,612.0,612.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:21:25,21/03/2017 15:25:45,J1843-0744,4.900410900874316,-0.13482619990288083,3.0,598,257.0,257.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.3243605474701536
