Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 20:50:22,1490082622000
Duration,  0 day, 7 hours, 50 minutes, 22 seconds,28222000
Slew time, 0 day, 0 hour, 12 minutes, 50 seconds,770000.0
Integration time, 0 day, 2 hours, 6 minutes, 32 seconds,7592000.0
Waiting time, 0 day, 5 hours, 31 minutes, 0 second,1.986E7
Relative slew time, 0.027283679399050385
Relative integration time, 0.26900999220466304
Relative waiting time, 0.7037063283962866
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:58:54,B1944+22,5.176711284041609,0.3970594959466233,62.0,2597,3472.0,3472.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:58:54,21/03/2017 14:03:26,J1700-3312,4.4544424796313695,-0.5792238733004015,85.0,222,187.0,187.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:03:26,21/03/2017 14:11:43,J1907+0731,5.008716071331938,0.13129675630440343,53.0,450,444.0,444.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:11:43,21/03/2017 14:22:01,J1047-58,2.8271425000221484,-1.0242173827120056,118.0,486,incomplete,500.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 61 [+]
21/03/2017 14:22:01,21/03/2017 14:26:04,J2024+48,5.340707511102648,0.8377580409572782,204.0,620,309.0,39.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.5847661691391348
21/03/2017 14:26:04,21/03/2017 14:34:59,J1840-1122,4.88867203449156,-0.1983338832461434,61.0,415,474.0,474.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:34:59,21/03/2017 14:42:03,J1822+0705,4.809723083886327,0.12371960328234248,15.0,545,409.0,409.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.333056058052278
21/03/2017 14:42:03,21/03/2017 14:59:11,J1700-4012,4.453393027696556,-0.7014352212208123,52.0,844,976.0,976.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:59:11,21/03/2017 15:06:11,J1047-58,2.8271425000221484,-1.0242173827120056,59.0,486,861.0,361.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:06:11,21/03/2017 15:19:22,J1722-3712,4.550885665271917,-0.6492445436356896,61.0,4689,incomplete,730.0,19860,180,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite BEIDOU-3 M2Waited for more observables to rise above the horizon. 
